gene_name,Accession,Description,logFC,pvalue,AveExpr,Control_abundance,Penta_abundance,hit_annotation,LipidProbe
LSM1,NP_055277.1,U6 snRNA-associated Sm-like protein LSm1 [OS=Homo sapiens],3.63,1.56239e-7,18.743077504174803,186138.9761,691384.079,enriched hit,bf-GPI
BAF83957.1,BAF83957.1,unnamed protein product [OS=Homo sapiens],3.55,1.63352e-6,18.465173983361296,56969.33787,666801.7654,enriched hit,bf-GPI
TNRC6B,NP_001155973.1,Trinucleotide repeat-containing gene 6B protein isoform 1 [OS=Homo sapiens],3.4,2.01321e-5,18.1463627607722,45685.38263,534583.79,enriched hit,bf-GPI
LPHN2,EAX06335.1,"latrophilin 2, isoform CRA_o [OS=Homo sapiens]",3.39,1.00307e-4,16.67573407031866,18397.12955,190978.5098,enriched hit,bf-GPI
IFP35,AAB61703.1,"interferon-induced leucine zipper protein, partial [OS=Homo sapiens]",3.34,4.78593e-6,18.555091820179136,72315.63456,698000.875,enriched hit,bf-GPI
NT5C3A,NP_001002010.1,cytosolic 5'-nucleotidase 3A isoform 1 [OS=Homo sapiens],3.25,4.92986e-5,18.15579635322806,43339.90577,540736.0027,enriched hit,bf-GPI
MNAT1,NP_002422.1,CDK-activating kinase assembly factor MAT1 isoform 1 [OS=Homo sapiens],3.14,0.002607143,15.264290580561658,8015.059433,70696.64612,enriched hit,bf-GPI
FANCA,XP_005256351.1,PREDICTED: Fanconi anemia group A protein isoform X1 [OS=Homo sapiens],3.11,1.79201e-5,18.716845416300266,78456.84008,783254.6625,enriched hit,bf-GPI
TTYH3,EAL23958.1,tweety homolog 3 (Drosophila) [OS=Homo sapiens],3.08,1.36966e-4,18.30711642874881,60917.67049,587748.3892,enriched hit,bf-GPI
TTC15,AAH14164.2,tetratricopeptide repeat domain 15 [OS=Homo sapiens],3.06,9.2686e-4,16.044209877077144,50492.9052,84657.834,enriched hit,bf-GPI
NEDD4,AAI36606.1,NEDD4 protein [OS=Homo sapiens],3.03,1.71096e-4,18.1655203315429,40547.69365,547478.27,enriched hit,bf-GPI
DKFZp547K202,CAC21644.1,"hypothetical protein, partial [OS=Homo sapiens]",3.01,6.96706e-4,17.190324821190572,33096.63812,266015.0625,enriched hit,bf-GPI
GSTM4,CAA48637.1,glutathione S-transferase [OS=Homo sapiens],2.81,1.64288e-10,20.327124867318457,328421.5673,2302478.223,enriched hit,bf-GPI
PPP4R3B,Q5MIZ7.2,RecName: Full=Serine/threonine-protein phosphatase 4 regulatory subunit 3B; AltName: Full=SMEK homolog 2 [OS=Homo sapiens],2.73,9.30038e-4,18.299429650930456,84441.41181,560777.7017,enriched hit,bf-GPI
LOC392748,EAL24141.1,similar to ribosomal protein S27 [OS=Homo sapiens],2.66,0.00212821,17.705510614029713,52284.72841,375199.1875,enriched hit,bf-GPI
lung cancer antigen NY-LU-12 variant A [Homo sapiens],AAC05826.1,lung cancer antigen NY-LU-12 variant A [OS=Homo sapiens],2.66,0.001692363,18.002348689577566,63630.27289,461511.9566,enriched hit,bf-GPI
TJ6 [Homo sapiens],AAD04632.1,TJ6 [OS=Homo sapiens],2.63,2.45614e-8,20.01838924774587,491908.6096,1632145.735,enriched hit,bf-GPI
fb19,CAA73697.1,FB19 protein [OS=Homo sapiens],2.62,0.002041625,18.07691508330135,77573.89167,475424.241,enriched hit,bf-GPI
POLD2,NP_006221.2,DNA polymerase delta subunit 2 isoform 2 [OS=Homo sapiens],2.59,9.78091e-9,20.29076982534069,1659143.065,906287.9933,enriched hit,bf-GPI
FADD,EAW74760.1,"Fas (TNFRSF6)-associated via death domain, isoform CRA_a [OS=Homo sapiens]",2.59,0.005424505,16.65707352670316,29463.20552,177221.7031,enriched hit,bf-GPI
SGTA,NP_003012.1,Small glutamine-rich tetratricopeptide repeat-containing protein alpha [OS=Homo sapiens],2.56,0.006228747,16.595839377684193,28220.06143,169875.8224,enriched hit,bf-GPI
IBA57,NP_001010867.1,"putative transferase CAF17, mitochondrial isoform 1 precursor [OS=Homo sapiens]",2.55,0.018967266,15.190992680798605,10883.68907,63928.86067,enriched hit,bf-GPI
CHD8,NP_001164100.1,chromodomain-helicase-DNA-binding protein 8 isoform 1 [OS=Homo sapiens],2.52,0.013331013,15.722647547747309,14183.80403,93964.20255,enriched hit,bf-GPI
MRPS10,XP_011513026.1,"PREDICTED: 28S ribosomal protein S10, mitochondrial isoform X1 [OS=Homo sapiens]",2.39,0.031189048,15.188004655579986,11953.84951,62703.91322,enriched hit,bf-GPI
DAG1,Q14118.2,RecName: Full=Dystroglycan; AltName: Full=Dystrophin-associated glycoprotein 1; Contains: RecName: Full=Alpha-dystroglycan; Short=Alpha-DG; Contains: RecName: Full=Beta-dystroglycan; Short=Beta-DG; Flags: Precursor [OS=Homo sapiens],2.28,0.012167695,17.44308027645079,67028.59611,289357.1909,enriched hit,bf-GPI
ZNF638,XP_016859298.1,PREDICTED: zinc finger protein 638 isoform X1 [OS=Homo sapiens],2.27,0.001144002,19.01073506965166,191774.2192,864633.3183,enriched hit,bf-GPI
SLC33A1,NP_004724.1,Acetyl-coenzyme A transporter 1 [OS=Homo sapiens],2.26,0.008968664,18.2020491200611,103996.9731,499107.7969,enriched hit,bf-GPI
RBBP6,NP_008841.2,E3 ubiquitin-protein ligase RBBP6 isoform 1 [OS=Homo sapiens],2.23,1.87216e-5,19.883349491749268,430530.3539,1503728.56,enriched hit,bf-GPI
BAG38035.1,BAG38035.1,unnamed protein product [OS=Homo sapiens],2.23,0.031569257,15.867841858533588,53607.5114,65991.16175,enriched hit,bf-GPI
"epsilon isoform of regulatory subunit B56, protein phosphatase 2A variant, partial [Homo sapiens]",BAD93048.1,"epsilon isoform of regulatory subunit B56, protein phosphatase 2A variant, partial [OS=Homo sapiens]",2.2,0.001439857,19.423861836184763,250800.6165,1155878.5,enriched hit,bf-GPI
STRN3,NP_001077362.1,striatin-3 isoform 1 [OS=Homo sapiens],2.1,0.033829932,16.44446983553504,82072.8741,96291.73195,enriched hit,bf-GPI
PIH1D1,AAH01108.1,PIH1 domain containing 1 [OS=Homo sapiens],2.07,0.022861811,18.075911896564186,90971.90733,461641.8284,enriched hit,bf-GPI
LTV1,NP_116249.2,protein LTV1 homolog isoform 1 [OS=Homo sapiens],2.07,0.004298921,19.05573397767888,448456.8665,641420.1955,enriched hit,bf-GPI
"COP9 constitutive photomorphogenic homolog subunit 7B variant, partial [Homo sapiens]",BAD96599.1,"COP9 constitutive photomorphogenic homolog subunit 7B variant, partial [OS=Homo sapiens]",2.05,0.025529222,17.651869402803698,80211.64806,331669.7379,enriched hit,bf-GPI
PMS2,NP_001308943.1,mismatch repair endonuclease PMS2 isoform i [OS=Homo sapiens],2.04,0.013287326,18.491878613498596,144299.1912,592993.8493,enriched hit,bf-GPI
CHD3,XP_005256486.1,PREDICTED: chromodomain-helicase-DNA-binding protein 3 isoform X7 [OS=Homo sapiens],2.03,0.003783152,19.50279663965549,292606.8108,1193180.974,enriched hit,bf-GPI
BAG61736.1,BAG61736.1,unnamed protein product [OS=Homo sapiens],2.02,0.063190573,15.895912468088431,24116.16788,97832.33051,no hit,bf-GPI
PSME4,XP_011531009.1,PREDICTED: proteasome activator complex subunit 4 isoform X3 [OS=Homo sapiens],1.99,0.005302924,19.211723921055093,95230.3739,1119095.264,enriched candidate,bf-GPI
CPA1,EAW83762.1,"carboxypeptidase A1 (pancreatic), isoform CRA_a [OS=Homo sapiens]",1.97,2.26284e-5,20.34843070449999,544146.2856,2125895.158,enriched candidate,bf-GPI
CASK,O14936.3,RecName: Full=Peripheral plasma membrane protein CASK; Short=hCASK; AltName: Full=Calcium/calmodulin-dependent serine protein kinase; AltName: Full=Protein lin-2 homolog [OS=Homo sapiens],1.96,0.090171404,15.706450724976529,21848.64966,85091.99291,no hit,bf-GPI
NCAPG2,NP_001268862.1,condensin-2 complex subunit G2 isoform b [OS=Homo sapiens],1.96,0.028216052,18.238108510021036,90227.38484,528141.6321,enriched candidate,bf-GPI
BAB14238.1,BAB14238.1,unnamed protein product [OS=Homo sapiens],1.94,2.89258e-6,20.678090420775,692617.6023,2662868.662,enriched candidate,bf-GPI
CUEDC1,EAW94499.1,"CUE domain containing 1, isoform CRA_b [OS=Homo sapiens]",1.92,0.008912893,19.10321112618493,235280.2542,891059.8769,enriched candidate,bf-GPI
WDR43,NP_055946.1,WD repeat-containing protein 43 [OS=Homo sapiens],1.92,0.03427376,17.968355614684427,107459.1618,405454.1947,enriched candidate,bf-GPI
APOB,P04114.2,RecName: Full=Apolipoprotein B-100; Short=Apo B-100; Contains: RecName: Full=Apolipoprotein B-48; Short=Apo B-48; Flags: Precursor [OS=Homo sapiens],1.91,0.099891724,15.694374550465168,22302.51229,83746.71258,no hit,bf-GPI
MAGI1,XP_006713470.1,"PREDICTED: membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 isoform X1 [OS=Homo sapiens]",1.91,0.055537583,17.251444966700234,65755.95365,246299.9471,no hit,bf-GPI
LZIC,NP_001303903.1,protein LZIC isoform b [OS=Homo sapiens],1.9,1.49328e-6,21.400163034006848,1968408.476,3566634.293,enriched candidate,bf-GPI
dihydropyrimidinase-like 2 [Homo sapiens],AAP35590.1,dihydropyrimidinase-like 2 [OS=Homo sapiens],1.88,0.055537583,17.340871970439665,70756.74963,261254.3551,no hit,bf-GPI
ACT,AAX82177.1,"Actin-like protein, partial [OS=Homo sapiens]",1.88,0.102186651,15.682087183169537,22440.6981,82709.14583,no hit,bf-GPI
TRRAP,EAW76695.1,"transformation/transcription domain-associated protein, isoform CRA_c [OS=Homo sapiens]",1.87,1.76498e-5,21.2084385162446,2209910.357,2636343.395,enriched candidate,bf-GPI
SERPINF2,EAW90578.1,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2, isoform CRA_a [OS=Homo sapiens]",1.84,0.06582113,17.14085363870673,63041.54725,225987.2344,no hit,bf-GPI
LIECG2,AAG33698.1,P2ECSL [OS=Homo sapiens],1.8,0.056119336,18.08266229352148,81133.56418,474071.9202,no hit,bf-GPI
SORL1,Q92673.2,RecName: Full=Sortilin-related receptor; AltName: Full=Low-density lipoprotein receptor relative with 11 ligand-binding repeats; Short=LDLR relative with 11 ligand-binding repeats; Short=LR11; AltName: Full=SorLA-1; AltName: Full=Sorting protein-related receptor containing LDLR class A repeats; Short=SorLA; Flags: Precursor [OS=Homo sapiens],1.79,0.085748079,16.840996014192665,189311.9019,45475.58798,no hit,bf-GPI
IKBIP,NP_963906.1,inhibitor of nuclear factor kappa-B kinase-interacting protein isoform 2 [OS=Homo sapiens],1.79,0.049859621,18.344033249134778,169036.2815,496442.5496,enriched candidate,bf-GPI
DKFZp564A0723,CAB45715.1,Hypothetical protein [OS=Homo sapiens],1.76,0.066956543,17.72289763980666,90996.03731,341670.9856,no hit,bf-GPI
SREK1,NP_001070667.1,splicing regulatory glutamine/lysine-rich protein 1 isoform a [OS=Homo sapiens],1.75,4.92986e-5,20.709467841233113,1055812.196,2373452.513,enriched candidate,bf-GPI
SHMT1,AAH07979.1,Serine hydroxymethyltransferase 1 (soluble) [OS=Homo sapiens],1.74,0.005345649,19.675398770811714,1118431.12,556184.7489,enriched candidate,bf-GPI
EXTL2,NP_001248370.1,exostosin-like 2 isoform 3 [OS=Homo sapiens],1.73,0.075959038,17.535340492456378,88113.8035,291807.3438,no hit,bf-GPI
STAU2,Q9NUL3.1,RecName: Full=Double-stranded RNA-binding protein Staufen homolog 2 [OS=Homo sapiens],1.73,0.12106372,16.316101297026044,37874.72733,125304.8855,no hit,bf-GPI
ACOX3,EAW82339.1,"acyl-Coenzyme A oxidase 3, pristanoyl, isoform CRA_a [OS=Homo sapiens]",1.72,0.076814909,17.818244586052106,90634.54518,371593.2806,no hit,bf-GPI
prostate cancer upregulated protein 1 [Homo sapiens],ACX50615.1,prostate cancer upregulated protein 1 [OS=Homo sapiens],1.71,0.065312131,18.317972252406978,30898.34769,622667.129,no hit,bf-GPI
FBXO7,AAH08361.1,F-box protein 7 [OS=Homo sapiens],1.71,0.120663916,16.431784036418353,41356.64584,135446.4531,no hit,bf-GPI
AKAP8,AAH37270.1,AKAP8 protein [OS=Homo sapiens],1.69,0.176110463,15.388323422155402,18253.45624,67524.74378,no hit,bf-GPI
ECD,NP_001129224.1,protein ecdysoneless homolog isoform 2 [OS=Homo sapiens],1.68,0.066638877,18.38221638442289,162254.841,521072.0536,no hit,bf-GPI
E2-EPF,AAA58446.1,Ubiquitin carrier protein [OS=Homo sapiens],1.68,0.103389385,17.267907811317187,106047.3505,209589.8692,no hit,bf-GPI
TBL2,ALQ34055.1,"transducin -like 2 isoform 1, partial [OS=Homo sapiens]",1.66,0.154637629,15.904681715447714,29445.7104,93246.29456,no hit,bf-GPI
NRBP1,NP_001308288.1,nuclear receptor-binding protein isoform 2 [OS=Homo sapiens],1.65,1.57159e-4,21.00384213330359,1263630.412,2941858.594,enriched candidate,bf-GPI
HAGH,EAW85610.1,"hydroxyacylglutathione hydrolase, isoform CRA_b [OS=Homo sapiens]",1.64,0.001643949,20.107383557120333,777017.3756,1482187.313,enriched candidate,bf-GPI
BAG63626.1,BAG63626.1,unnamed protein product [OS=Homo sapiens],1.63,0.193845364,15.072924858293863,13733.53163,55200.31291,no hit,bf-GPI
OSBPL11,NP_073613.2,Oxysterol-binding protein-related protein 11 [OS=Homo sapiens],1.62,0.013361311,19.621383771124542,720544.6847,892532.1977,enriched candidate,bf-GPI
nuclear body protein SP100C [Homo sapiens],AAK51202.1,Nuclear body protein SP100C [OS=Homo sapiens],1.62,0.092150414,18.238632280155496,54376.10174,564217.4547,no hit,bf-GPI
MTO1,NP_001116698.1,"protein MTO1 homolog, mitochondrial isoform c [OS=Homo sapiens]",1.61,0.001733193,20.04671023964979,535274.1433,1630888.651,enriched candidate,bf-GPI
CGI-79 protein [Homo sapiens],AAD34074.1,CGI-79 protein [OS=Homo sapiens],1.59,0.14235008,17.023321715847093,66297.76638,200118.3284,no hit,bf-GPI
DCAF13,Q9NV06.2,RecName: Full=DDB1- and CUL4-associated factor 13; AltName: Full=WD repeat and SOF domain-containing protein 1 [OS=Homo sapiens],1.59,0.179710134,15.573437828431285,24314.52999,73207.31694,no hit,bf-GPI
ferritin-like protein [Homo sapiens],AAO52739.1,ferritin-like protein [OS=Homo sapiens],1.56,0.115333802,17.969818715049904,243039.8842,270393.9041,no hit,bf-GPI
USP3,NP_006528.2,ubiquitin carboxyl-terminal hydrolase 3 isoform 1 [OS=Homo sapiens],1.53,0.147166322,17.283256117988703,88331.30514,230681.7894,no hit,bf-GPI
IRF3,AAH09395.1,IRF3 protein [OS=Homo sapiens],1.52,0.060734717,18.917525365213866,88878.31147,901434.9033,no hit,bf-GPI
putative DEAD-box helicase MDDX28 [Homo sapiens],AAG59833.1,putative DEAD-box helicase MDDX28 [OS=Homo sapiens],1.51,0.055357698,19.24796565679407,291488.2702,953728.6516,no hit,bf-GPI
UAP1,NP_001311046.1,UDP-N-acetylhexosamine pyrophosphorylase isoform c [OS=Homo sapiens],1.5,7.19437e-4,20.777072691268835,1620832.453,1972952.598,enriched candidate,bf-GPI
IFT25,NP_057210.2,Intraflagellar transport protein 25 homolog [OS=Homo sapiens],1.5,0.021989631,19.637256824120325,425752.0122,1205170.518,enriched candidate,bf-GPI
POFUT2,XP_011527806.1,PREDICTED: GDP-fucose protein O-fucosyltransferase 2 isoform X1 [OS=Homo sapiens],1.5,0.139120745,18.145398370840926,151795.4236,428085.9895,no hit,bf-GPI
OGFR,EAW75340.1,"opioid growth factor receptor, isoform CRA_f [OS=Homo sapiens]",1.49,0.009017214,19.83745322547518,491846.6625,1381846.423,enriched candidate,bf-GPI
BAC11339.1,BAC11339.1,unnamed protein product [OS=Homo sapiens],1.47,0.176110463,17.25535800358816,82889.55852,230013.8836,no hit,bf-GPI
platelet cGI-PDE [Homo sapiens],AAB18673.1,platelet cGI-PDE [OS=Homo sapiens],1.47,8.49468e-4,20.916273812201606,1351362.423,2606455.498,enriched candidate,bf-GPI
TRIM33,XP_005270993.1,PREDICTED: E3 ubiquitin-protein ligase TRIM33 isoform X1 [OS=Homo sapiens],1.46,0.10603361,18.691584324113165,234123.5592,612631,no hit,bf-GPI
NIBAN1,XP_011507442.1,PREDICTED: protein Niban isoform X1 [OS=Homo sapiens],1.45,0.002933922,20.48593662997123,765672.9144,2171377.563,enriched candidate,bf-GPI
GNE,NP_001121699.1,bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase isoform 1 [OS=Homo sapiens],1.45,0.007486336,19.968559918867584,933841.0751,1118102.912,enriched candidate,bf-GPI
PSMD8BP1,EAW83286.1,"PSMD8 binding protein 1, isoform CRA_b [OS=Homo sapiens]",1.45,7.69261e-4,21.290604147022073,1297873.486,3832399.439,enriched candidate,bf-GPI
BAF84665.1,BAF84665.1,unnamed protein product [OS=Homo sapiens],1.44,0.028338697,19.643772521955114,747361.7689,890943.2163,enriched candidate,bf-GPI
I-plastin [Homo sapiens],AAA19869.1,I-plastin [OS=Homo sapiens],1.43,0.186700994,17.183205110063657,80573.32782,217065.8906,no hit,bf-GPI
DKFZp666B131,CAH56351.1,"hypothetical protein, partial [OS=Homo sapiens]",1.43,8.16445e-12,23.991822888863723,9491789.242,23872996.16,enriched candidate,bf-GPI
SCRN2,EAW94790.1,"secernin 2, isoform CRA_a [OS=Homo sapiens]",1.41,0.080757489,19.31728565798477,357195.162,949313.8614,no hit,bf-GPI
ANK2,XP_016863556.1,PREDICTED: ankyrin-2 isoform X1 [OS=Homo sapiens],1.41,0.003395162,20.496532524843037,1374649.499,1584051.598,enriched candidate,bf-GPI
CUL5,EAW67101.1,"cullin 5, isoform CRA_a [OS=Homo sapiens]",1.4,0.20340456,17.06762705225589,75471.08546,199253.6053,no hit,bf-GPI
TMED5,AAH16556.1,Transmembrane emp24 protein transport domain containing 5 [OS=Homo sapiens],1.4,0.20340456,17.06762705225589,75471.08546,199253.6053,no hit,bf-GPI
LAMB2,AAB34682.2,laminin beta 2 chain [OS=Homo sapiens],1.4,0.08314865,19.225084239617242,502686.9183,722936.4165,no hit,bf-GPI
GTF3C4,NP_036336.2,General transcription factor 3C polypeptide 4 [OS=Homo sapiens],1.4,7.69261e-4,21.410185526336033,2197180.783,3376448.148,enriched candidate,bf-GPI
AAF76523.1,AAF76523.1,unknown [OS=Homo sapiens],1.39,0.002222692,20.93906982400038,1806962.206,2213889.851,enriched candidate,bf-GPI
COX15,AAD08639.1,cytochrome oxidase assembly factor [OS=Homo sapiens],1.39,0.193813692,17.35040837407227,92212.72785,242000.2833,no hit,bf-GPI
"Notchless gene homolog variant, partial [Homo sapiens]",BAD92348.1,"Notchless gene homolog variant, partial [OS=Homo sapiens]",1.38,0.017485954,19.842826397336168,600437.5163,1280246.961,enriched candidate,bf-GPI
crn-related protein kim1 [Homo sapiens],AAQ14304.1,Crn-related protein kim1 [OS=Homo sapiens],1.38,0.234748565,16.982246906718853,188121.3255,70816.62627,no hit,bf-GPI
METAP1,NP_055958.2,Methionine aminopeptidase 1 [OS=Homo sapiens],1.38,0.097620033,19.08862379549435,445574.8446,669434.0557,no hit,bf-GPI
"BCR-ABL1 fusion protein, partial [Homo sapiens]",AMO44423.1,"BCR-ABL1 fusion protein, partial [OS=Homo sapiens]",1.36,0.264926595,15.922626939315291,34870.2141,89357.44859,no hit,bf-GPI
pLK [Homo sapiens],AAA56634.1,pLK [OS=Homo sapiens],1.34,0.013361311,20.119389067695607,634350.9433,1643732.352,enriched candidate,bf-GPI
TTC9C,EAW74086.1,"tetratricopeptide repeat domain 9C, isoform CRA_a [OS=Homo sapiens]",1.33,0.232437346,17.304283064696506,72949.24126,250747.4436,no hit,bf-GPI
BAG59292.1,BAG59292.1,unnamed protein product [OS=Homo sapiens],1.31,0.005492352,21.207527391212327,2221414.866,2621779.231,enriched candidate,bf-GPI
BAG61503.1,BAG61503.1,unnamed protein product [OS=Homo sapiens],1.31,0.143659424,18.892330644485096,280368.2028,692800.6661,no hit,bf-GPI
AKT1,XP_016876564.1,PREDICTED: RAC-alpha serine/threonine-protein kinase isoform X1 [OS=Homo sapiens],1.3,0.215985873,17.633593575990183,117352.8918,289343.7566,no hit,bf-GPI
ARHGAP45,XP_011526160.1,PREDICTED: minor histocompatibility protein HA-1 isoform X1 [OS=Homo sapiens],1.29,0.279964549,16.670825219305165,57957.4845,150706.9531,no hit,bf-GPI
MARCHF5,NP_060294.1,E3 ubiquitin-protein ligase MARCH5 [OS=Homo sapiens],1.28,0.200678011,18.348587226099323,194889.7427,472693.042,no hit,bf-GPI
MAP2K6,XP_011523327.1,PREDICTED: dual specificity mitogen-activated protein kinase kinase 6 isoform X1 [OS=Homo sapiens],1.27,0.13737386,19.39674260338028,403759.5831,976724.2897,no hit,bf-GPI
BAF85005.1,BAF85005.1,unnamed protein product [OS=Homo sapiens],1.27,0.022197513,20.181583414647783,1182272.708,1196165.996,enriched candidate,bf-GPI
BAG57885.1,BAG57885.1,unnamed protein product [OS=Homo sapiens],1.26,0.237570044,17.7631496668038,130846.823,314061.8407,no hit,bf-GPI
OMA1,NP_660286.1,"metalloendopeptidase OMA1, mitochondrial precursor [OS=Homo sapiens]",1.26,0.054310716,19.751091810597902,520898.4359,1243924.25,no hit,bf-GPI
PAD-H19,BAA82557.1,Peptidylarginine deiminase type II [OS=Homo sapiens],1.25,0.248353596,17.89149524274549,107435.3812,378867.375,no hit,bf-GPI
ARFIP1,XP_011530170.1,PREDICTED: arfaptin-1 isoform X1 [OS=Homo sapiens],1.22,0.010165262,20.977771702279586,1071816.248,3058359.386,enriched candidate,bf-GPI
BAG51187.1,BAG51187.1,unnamed protein product [OS=Homo sapiens],1.22,0.156339038,19.395347218909098,336424.1579,1042725.147,no hit,bf-GPI
RSF1,NP_057662.3,remodeling and spacing factor 1 [OS=Homo sapiens],1.22,0.300160238,16.825276479573716,69734.54978,162508.5938,no hit,bf-GPI
LRSAM1,AAH09239.1,Leucine rich repeat and sterile alpha motif containing 1 [OS=Homo sapiens],1.22,0.041801431,19.95087078138319,608657.9107,1418280.443,enriched candidate,bf-GPI
ITPR2,EAW96535.1,"inositol 1,4,5-triphosphate receptor, type 2, isoform CRA_b [OS=Homo sapiens]",1.21,0.370437176,15.571707634709195,29332.91345,68072.04769,no hit,bf-GPI
C20orf11,AAH32120.1,chromosome 20 open reading frame 11 [OS=Homo sapiens],1.21,0.269459263,17.57298698798241,89276.01003,300689.4949,no hit,bf-GPI
BAF84522.1,BAF84522.1,unnamed protein product [OS=Homo sapiens],1.19,2.24281e-4,22.49708891742857,5749526.928,6089842.574,enriched candidate,bf-GPI
interferon regulatory factor-2 binding protein 2B [Homo sapiens],AAP78945.1,Interferon regulatory factor-2 binding protein 2B [OS=Homo sapiens],1.19,0.002720926,21.946171656746408,1661187.094,6420200.83,enriched candidate,bf-GPI
ACSF3,AAH28399.1,Acsf3 protein [OS=Homo sapiens],1.18,0.176110463,19.165550732101966,308018.2374,868058.472,no hit,bf-GPI
NUCB2,P80303.2,RecName: Full=Nucleobindin-2; AltName: Full=DNA-binding protein NEFA; AltName: Full=Gastric cancer antigen Zg4; AltName: Full=Prepronesfatin; Contains: RecName: Full=Nesfatin-1; Flags: Precursor [OS=Homo sapiens],1.18,0.004288381,21.753167131154775,2883104.609,4186348.25,enriched candidate,bf-GPI
MTG1,EAW61348.1,"mitochondrial GTPase 1 homolog (S. cerevisiae), isoform CRA_a, partial [OS=Homo sapiens]",1.18,0.237117015,18.533504224037028,232929.0922,525946.6871,no hit,bf-GPI
EIF3S3,EAW91957.1,"eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa, isoform CRA_b [OS=Homo sapiens]",1.16,2.58973e-4,22.48522051591275,4131887.465,7610484.408,enriched candidate,bf-GPI
WDR82,NP_079498.2,WD repeat-containing protein 82 [OS=Homo sapiens],1.16,0.022833587,20.39702286639022,854678.973,1906825.18,enriched candidate,bf-GPI
PRKAG1,XP_005269076.1,PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1 isoform X1 [OS=Homo sapiens],1.16,0.432059371,15.487534821086298,28438.92237,63445.63672,no hit,bf-GPI
EXOC7,AAH18466.1,Exoc7 protein [OS=Homo sapiens],1.15,0.186308338,19.128171788509608,355186.1501,790810.8116,no hit,bf-GPI
INF2,XP_005268061.1,PREDICTED: inverted formin-2 isoform X1 [OS=Homo sapiens],1.15,1.34825e-4,22.804958668294827,5903134.11,8752567.18,enriched candidate,bf-GPI
BAC87051.1,BAC87051.1,unnamed protein product [OS=Homo sapiens],1.14,0.023984604,21.197049776254797,1659799.422,3148348.253,enriched candidate,bf-GPI
RNMT,XP_011524051.1,PREDICTED: mRNA cap guanine-N7 methyltransferase isoform X1 [OS=Homo sapiens],1.13,0.389467356,16.32249738805974,69214.53788,94690.12679,no hit,bf-GPI
LZTFL1,XP_016862134.1,PREDICTED: leucine zipper transcription factor-like protein 1 isoform X3 [OS=Homo sapiens],1.12,0.022822083,20.76197568988637,829956.0232,2726418.149,enriched candidate,bf-GPI
CBS,EAX09512.1,"cystathionine-beta-synthase, isoform CRA_c [OS=Homo sapiens]",1.12,0.020413887,20.990769077059245,2337901.197,1829651.691,enriched candidate,bf-GPI
HCCS-4,AAO33376.1,Cervical cancer suppressor gene-4 protein [OS=Homo sapiens],1.11,0.267361867,18.68019591772434,265606.9035,574489.8217,no hit,bf-GPI
