Gene,Protein.ID,Protein.Description,logFC,AveExpr,comparison.label,sample,pvalue,hit_annotation
APRT,P07741,Adenine phosphoribosyltransferase,-0.972882878,20.93893507,PA_UV vs PA_NoUV,membrane,0.000439363,hit
COPE,O14579,Coatomer subunit epsilon,-0.640094354,20.45922257,PA_UV vs PA_NoUV,membrane,0.000445912,hit
EIF4G1,Q04637,Eukaryotic translation initiation factor 4 gamma 1,-0.908761196,23.52716923,PA_UV vs PA_NoUV,membrane,0.000469772,hit
INPP5A,Q14642,Inositol polyphosphate-5-phosphatase A,0.659962236,18.97274026,PA_UV vs PA_NoUV,membrane,0.000476231,enriched hit
AP3B1,O00203,AP-3 complex subunit beta-1,-0.797823011,19.74193684,PA_UV vs PA_NoUV,membrane,0.000534763,hit
SEC31A,O94979,Protein transport protein Sec31A,-0.965313129,23.25025423,PA_UV vs PA_NoUV,membrane,0.000626977,hit
SLC9A3R1,O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,0.864023259,21.8627385,PA_UV vs PA_NoUV,membrane,0.000737908,enriched hit
MAGEA1,P43355,Melanoma-associated antigen 1,-0.679895541,18.54090785,PA_UV vs PA_NoUV,membrane,0.000770714,hit
UBAP2L,Q14157,Ubiquitin-associated protein 2-like,-1.307221511,21.641581,PA_UV vs PA_NoUV,membrane,0.000773944,hit
PDIA3,P30101,Protein disulfide-isomerase A3,0.921552911,24.40784171,PA_UV vs PA_NoUV,membrane,0.000775518,enriched hit
TUBA1C,Q9BQE3,Tubulin alpha-1C chain,-0.891865074,23.10128637,PA_UV vs PA_NoUV,membrane,0.000845955,hit
SARS1,P49591,"Serine--tRNA ligase, cytoplasmic",-0.962329681,18.20492025,PA_UV vs PA_NoUV,membrane,0.000896864,hit
SEC11A,P67812,Signal peptidase complex catalytic subunit SEC11A,0.50602214,18.95777345,PA_UV vs PA_NoUV,membrane,0.001029223,no hit
ATP2B1,P20020,Plasma membrane calcium-transporting ATPase 1,0.633330711,23.46488784,PA_UV vs PA_NoUV,membrane,0.00109012,enriched hit
ATP1B1,P05026,Sodium/potassium-transporting ATPase subunit beta-1,0.729977764,22.69482238,PA_UV vs PA_NoUV,membrane,0.001115083,enriched hit
TMEM214,Q6NUQ4,Transmembrane protein 214,1.131716506,19.45141302,PA_UV vs PA_NoUV,membrane,0.001158618,enriched hit
SYAP1,Q96A49,Synapse-associated protein 1,-1.037346158,21.0192683,PA_UV vs PA_NoUV,membrane,0.00118154,hit
PCBP2,Q15366,Poly(rC)-binding protein 2,-1.086626714,21.336559,PA_UV vs PA_NoUV,membrane,0.00119467,hit
LYPD3,O95274,Ly6/PLAUR domain-containing protein 3,0.675648943,20.85147601,PA_UV vs PA_NoUV,membrane,0.001197297,enriched hit
IGF1R,P08069,Insulin-like growth factor 1 receptor,0.59057038,20.2769184,PA_UV vs PA_NoUV,membrane,0.001256012,enriched hit
GNA13,Q14344,Guanine nucleotide-binding protein subunit alpha-13,0.690755835,20.97043031,PA_UV vs PA_NoUV,membrane,0.001266038,enriched hit
NIBAN2,Q96TA1,Protein Niban 2,0.926908496,21.22975702,PA_UV vs PA_NoUV,membrane,0.001283953,enriched hit
GNAI1,P63096,Guanine nucleotide-binding protein G(i) subunit alpha-1,0.691088638,21.5239396,PA_UV vs PA_NoUV,membrane,0.00129898,enriched hit
RAB23,Q9ULC3,Ras-related protein Rab-23,0.516950335,20.45124489,PA_UV vs PA_NoUV,membrane,0.001308131,no hit
IDH3A,P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",0.700508079,19.64694039,PA_UV vs PA_NoUV,membrane,0.00134162,enriched hit
RCN1,Q15293,Reticulocalbin-1,0.625222827,18.69887173,PA_UV vs PA_NoUV,membrane,0.001375218,enriched hit
TCOF1,Q13428,Treacle protein,0.706099677,17.69548229,PA_UV vs PA_NoUV,membrane,0.001454748,enriched hit
YWHAZ,P63104,14-3-3 protein zeta/delta,-0.800560853,23.51103207,PA_UV vs PA_NoUV,membrane,0.00145707,hit
AARS1,P49588,"Alanine--tRNA ligase, cytoplasmic",-0.845751894,21.34142772,PA_UV vs PA_NoUV,membrane,0.0014638,hit
ATP2B4,P23634,Plasma membrane calcium-transporting ATPase 4,0.603165674,21.28773168,PA_UV vs PA_NoUV,membrane,0.00167296,enriched hit
ATXN2L,Q8WWM7,Ataxin-2-like protein,-0.792595669,19.79145654,PA_UV vs PA_NoUV,membrane,0.001792245,hit
RRAS2,P62070,Ras-related protein R-Ras2,0.556811994,22.13089354,PA_UV vs PA_NoUV,membrane,0.001814491,no hit
FAM114A1,Q8IWE2,Protein NOXP20,-1.068328359,19.69671918,PA_UV vs PA_NoUV,membrane,0.00188821,hit
ANO6,Q4KMQ2,Anoctamin-6,0.557598527,19.52363217,PA_UV vs PA_NoUV,membrane,0.001888305,no hit
SRPRB,Q9Y5M8,Signal recognition particle receptor subunit beta,1.081500898,21.67277202,PA_UV vs PA_NoUV,membrane,0.001931942,enriched hit
RAB18,Q9NP72,Ras-related protein Rab-18,-0.527992099,22.11015584,PA_UV vs PA_NoUV,membrane,0.001954729,no hit
IST1,P53990,IST1 homolog,-0.719387865,20.37967487,PA_UV vs PA_NoUV,membrane,0.001982471,hit
PPIA,P62937,Peptidyl-prolyl cis-trans isomerase A,-0.796899862,23.62141094,PA_UV vs PA_NoUV,membrane,0.001986004,hit
NAA50,Q9GZZ1,N-alpha-acetyltransferase 50,-0.97131122,19.91226021,PA_UV vs PA_NoUV,membrane,0.00203204,hit
EEF1B2,P24534,Elongation factor 1-beta,-1.153053364,21.11263304,PA_UV vs PA_NoUV,membrane,0.002081156,hit
HYOU1,Q9Y4L1,Hypoxia up-regulated protein 1,0.698008553,21.80318594,PA_UV vs PA_NoUV,membrane,0.00214135,enriched hit
GSTO1,P78417,Glutathione S-transferase omega-1,-0.830209247,20.17533047,PA_UV vs PA_NoUV,membrane,0.002194114,hit
EIF2B1,Q14232,Translation initiation factor eIF-2B subunit alpha,-0.709819476,20.28680217,PA_UV vs PA_NoUV,membrane,0.002223685,hit
GNAO1,P09471,Guanine nucleotide-binding protein G(o) subunit alpha,0.565637706,18.55356084,PA_UV vs PA_NoUV,membrane,0.002243979,no hit
HARS1,P12081,"Histidine--tRNA ligase, cytoplasmic",-0.620582821,20.25764362,PA_UV vs PA_NoUV,membrane,0.00229644,hit
CPS1,P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",0.817005614,23.39989519,PA_UV vs PA_NoUV,membrane,0.002309086,enriched hit
GANAB,Q14697,Neutral alpha-glucosidase AB,0.53971279,23.50012261,PA_UV vs PA_NoUV,membrane,0.002317742,no hit
PRRC1,Q96M27,Protein PRRC1,-0.70960079,22.56171243,PA_UV vs PA_NoUV,membrane,0.002514238,hit
RHOF,Q9HBH0,Rho-related GTP-binding protein RhoF,0.706858331,19.07603145,PA_UV vs PA_NoUV,membrane,0.002624873,enriched hit
SRI,P30626,Sorcin,-0.849274186,20.38516031,PA_UV vs PA_NoUV,membrane,0.002752856,candidate
TRAPPC4,Q9Y296,Trafficking protein particle complex subunit 4,-0.490056411,18.08554512,PA_UV vs PA_NoUV,membrane,0.002808542,no hit
EIF4B,P23588,Eukaryotic translation initiation factor 4B,-1.162526966,19.45242267,PA_UV vs PA_NoUV,membrane,0.002828993,candidate
RAC1,P63000,Ras-related C3 botulinum toxin substrate 1,0.578191879,22.6547974,PA_UV vs PA_NoUV,membrane,0.002981113,no hit
GNAI2,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2,0.814372628,21.20886622,PA_UV vs PA_NoUV,membrane,0.002987459,candidate
HSDL2,Q6YN16,Hydroxysteroid dehydrogenase-like protein 2,0.488771489,19.42986051,PA_UV vs PA_NoUV,membrane,0.003072979,no hit
TARS1,P26639,"Threonine--tRNA ligase 1, cytoplasmic",-0.970612302,22.36958537,PA_UV vs PA_NoUV,membrane,0.003196557,candidate
YWHAQ,P27348,14-3-3 protein theta,-0.939000792,21.83803488,PA_UV vs PA_NoUV,membrane,0.003258787,candidate
NDUFA4,O00483,Cytochrome c oxidase subunit NDUFA4,1.012739789,19.36633726,PA_UV vs PA_NoUV,membrane,0.003308567,candidate
NARS1,O43776,"Asparagine--tRNA ligase, cytoplasmic",-0.780707969,20.44526644,PA_UV vs PA_NoUV,membrane,0.003378702,candidate
KRAS,P01116,GTPase KRas,0.539809177,20.04929436,PA_UV vs PA_NoUV,membrane,0.003510607,no hit
ARF4,P18085,ADP-ribosylation factor 4,-0.637106276,20.11201889,PA_UV vs PA_NoUV,membrane,0.003634583,candidate
PON2,Q15165,Serum paraoxonase/arylesterase 2,0.650440118,18.75073349,PA_UV vs PA_NoUV,membrane,0.003644064,candidate
RALB,P11234,Ras-related protein Ral-B,0.613889346,19.80889367,PA_UV vs PA_NoUV,membrane,0.00371878,candidate
RALA,P11233,Ras-related protein Ral-A,0.805115465,22.30226981,PA_UV vs PA_NoUV,membrane,0.003790709,candidate
SPG21,Q9NZD8,Maspardin,-0.502393825,19.82407398,PA_UV vs PA_NoUV,membrane,0.003795893,no hit
ANXA5,P08758,Annexin A5,-0.987635409,22.66858186,PA_UV vs PA_NoUV,membrane,0.003889624,candidate
HSPB1,P04792,Heat shock protein beta-1,-0.794186167,22.81187775,PA_UV vs PA_NoUV,membrane,0.00391163,candidate
TSN,Q15631,Translin,-0.631224917,20.1827488,PA_UV vs PA_NoUV,membrane,0.004063043,candidate
SLC25A6,P12236,ADP/ATP translocase 3,0.99595301,20.50797732,PA_UV vs PA_NoUV,membrane,0.004107347,candidate
NCLN,Q969V3,Nicalin,0.870811065,16.61514508,PA_UV vs PA_NoUV,membrane,0.00414413,candidate
PFN1,P07737,Profilin-1,-0.649910479,21.94694962,PA_UV vs PA_NoUV,membrane,0.004166832,candidate
PCNA,P12004,Proliferating cell nuclear antigen,-0.980502706,23.53245146,PA_UV vs PA_NoUV,membrane,0.004187632,candidate
CD55,P08174,Complement decay-accelerating factor,0.634250637,23.84802786,PA_UV vs PA_NoUV,membrane,0.004214198,candidate
JUP,P14923,Junction plakoglobin,0.724652395,22.80662439,PA_UV vs PA_NoUV,membrane,0.004225073,candidate
BLVRA,P53004,Biliverdin reductase A,-0.456231312,19.22073555,PA_UV vs PA_NoUV,membrane,0.004256805,no hit
PGLS,O95336,6-phosphogluconolactonase,-0.769133914,19.62917519,PA_UV vs PA_NoUV,membrane,0.004356041,candidate
CANX,P27824,Calnexin,0.73064941,25.23591437,PA_UV vs PA_NoUV,membrane,0.004516046,candidate
SLC25A22,Q9H936,Mitochondrial glutamate carrier 1,0.638598038,17.96429672,PA_UV vs PA_NoUV,membrane,0.004603273,candidate
GNA11,P29992,Guanine nucleotide-binding protein subunit alpha-11,0.593693727,21.90866517,PA_UV vs PA_NoUV,membrane,0.004631885,candidate
USO1,O60763,General vesicular transport factor p115,-0.438476455,20.08642233,PA_UV vs PA_NoUV,membrane,0.004671705,no hit
HSD17B4,P51659,Peroxisomal multifunctional enzyme type 2,0.58088323,22.73398428,PA_UV vs PA_NoUV,membrane,0.004742045,no hit
TSFM,P43897,"Elongation factor Ts, mitochondrial",0.511269412,17.35497218,PA_UV vs PA_NoUV,membrane,0.004812906,no hit
GOT1,P17174,"Aspartate aminotransferase, cytoplasmic",-0.665779207,20.04886898,PA_UV vs PA_NoUV,membrane,0.004891071,candidate
CD320,Q9NPF0,CD320 antigen,0.423395926,19.77089438,PA_UV vs PA_NoUV,membrane,0.004934873,no hit
SORD,Q00796,Sorbitol dehydrogenase,-0.560171656,19.33906031,PA_UV vs PA_NoUV,membrane,0.00496019,no hit
SLC26A6,Q9BXS9,Solute carrier family 26 member 6,0.582496942,19.33184128,PA_UV vs PA_NoUV,membrane,0.004971952,no hit
PARVA,Q9NVD7,Alpha-parvin,-0.738455206,20.5903544,PA_UV vs PA_NoUV,membrane,0.005118469,candidate
IPO5,O00410,Importin-5,-0.827568255,23.01788652,PA_UV vs PA_NoUV,membrane,0.005233335,candidate
GNB4,Q9HAV0,Guanine nucleotide-binding protein subunit beta-4,0.551162093,22.53675064,PA_UV vs PA_NoUV,membrane,0.005294464,no hit
SERPINB6,P35237,Serpin B6,-0.667382744,21.26810887,PA_UV vs PA_NoUV,membrane,0.005613881,candidate
UBE2I,P63279,SUMO-conjugating enzyme UBC9,-0.421188396,18.8246435,PA_UV vs PA_NoUV,membrane,0.005943866,no hit
PGM1,P36871,Phosphoglucomutase-1,-0.954228922,22.32745613,PA_UV vs PA_NoUV,membrane,0.005953264,candidate
EFNB1,P98172,Ephrin-B1,0.714657383,17.76371385,PA_UV vs PA_NoUV,membrane,0.005957625,candidate
CISD2,Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,1.02499332,21.96880273,PA_UV vs PA_NoUV,membrane,0.006026811,candidate
PDIA6,Q15084,Protein disulfide-isomerase A6,0.507134385,22.28669064,PA_UV vs PA_NoUV,membrane,0.006150012,no hit
CRTAP,O75718,Cartilage-associated protein,0.665574084,19.48037538,PA_UV vs PA_NoUV,membrane,0.006162992,candidate
PUM1,Q14671,Pumilio homolog 1,-0.981141697,18.32320807,PA_UV vs PA_NoUV,membrane,0.006197886,candidate
NOMO1,Q15155,Nodal modulator 1,0.742475842,21.25579301,PA_UV vs PA_NoUV,membrane,0.006426076,candidate
RAD23B,P54727,UV excision repair protein RAD23 homolog B,-0.763520175,20.59993797,PA_UV vs PA_NoUV,membrane,0.006431999,candidate
PPIB,P23284,Peptidyl-prolyl cis-trans isomerase B,0.744612562,24.85003382,PA_UV vs PA_NoUV,membrane,0.006603049,candidate
PRSS21,Q9Y6M0,Testisin,0.554076532,20.3781156,PA_UV vs PA_NoUV,membrane,0.006671997,no hit
UBAP2,Q5T6F2,Ubiquitin-associated protein 2,-1.026707243,18.69385209,PA_UV vs PA_NoUV,membrane,0.006785138,candidate
UBE2N,P61088,Ubiquitin-conjugating enzyme E2 N,-0.660567402,20.0040813,PA_UV vs PA_NoUV,membrane,0.006814146,candidate
EDC4,Q6P2E9,Enhancer of mRNA-decapping protein 4,-0.456840055,20.39535036,PA_UV vs PA_NoUV,membrane,0.006815831,no hit
SCAMP3,O14828,Secretory carrier-associated membrane protein 3,-0.595162216,22.18862771,PA_UV vs PA_NoUV,membrane,0.006943676,candidate
WDR5,P61964,WD repeat-containing protein 5,0.520368606,18.53383403,PA_UV vs PA_NoUV,membrane,0.006955753,no hit
SRM,P19623,Spermidine synthase,-0.668331174,19.61369812,PA_UV vs PA_NoUV,membrane,0.006985307,candidate
S100A4,P26447,Protein S100-A4,-1.046104827,22.27767875,PA_UV vs PA_NoUV,membrane,0.007032242,candidate
RABGGTB,P53611,Geranylgeranyl transferase type-2 subunit beta,-0.797497025,19.31059097,PA_UV vs PA_NoUV,membrane,0.007065376,candidate
AIFM1,O95831,"Apoptosis-inducing factor 1, mitochondrial",0.914034627,18.98813274,PA_UV vs PA_NoUV,membrane,0.007092342,candidate
ABCC1,P33527,Multidrug resistance-associated protein 1,0.463904084,19.48298313,PA_UV vs PA_NoUV,membrane,0.007117715,no hit
TAGLN2,P37802,Transgelin-2,-0.672878036,23.33101245,PA_UV vs PA_NoUV,membrane,0.007205044,candidate
YWHAB,P31946,14-3-3 protein beta/alpha,-0.859578144,22.77272968,PA_UV vs PA_NoUV,membrane,0.00726845,candidate
IPO7,O95373,Importin-7,-0.848857245,22.06061616,PA_UV vs PA_NoUV,membrane,0.007281667,candidate
DDT,P30046,D-dopachrome decarboxylase,-0.737842235,18.89813436,PA_UV vs PA_NoUV,membrane,0.007321805,candidate
SLC25A5,P05141,ADP/ATP translocase 2,1.161540993,23.60863597,PA_UV vs PA_NoUV,membrane,0.007330911,candidate
PYCR1,P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial",0.936345849,18.30974353,PA_UV vs PA_NoUV,membrane,0.007356484,candidate
PHGDH,O43175,D-3-phosphoglycerate dehydrogenase,-0.625964223,21.69450848,PA_UV vs PA_NoUV,membrane,0.007500514,candidate
ETFB,P38117,Electron transfer flavoprotein subunit beta,0.832750741,20.9392935,PA_UV vs PA_NoUV,membrane,0.007851596,candidate
HADH,Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",0.710929707,18.26883404,PA_UV vs PA_NoUV,membrane,0.007897372,candidate
UBE2M,P61081,NEDD8-conjugating enzyme Ubc12,-0.974575408,18.71860043,PA_UV vs PA_NoUV,membrane,0.007921717,candidate
RAB13,P51153,Ras-related protein Rab-13,0.920070704,21.6262584,PA_UV vs PA_NoUV,membrane,0.007987679,candidate
RNPEP,Q9H4A4,Aminopeptidase B,-0.716356088,19.62781538,PA_UV vs PA_NoUV,membrane,0.008080413,candidate
ARHGDIA,P52565,Rho GDP-dissociation inhibitor 1,-0.849795511,21.92145152,PA_UV vs PA_NoUV,membrane,0.008100637,candidate
MYG1,Q9HB07,MYG1 exonuclease,-0.63600962,18.30122017,PA_UV vs PA_NoUV,membrane,0.008200249,candidate
PLIN4,Q96Q06,Perilipin-4,-0.525330687,20.17934901,PA_UV vs PA_NoUV,membrane,0.008247121,no hit
GSTK1,Q9Y2Q3,Glutathione S-transferase kappa 1,0.616053651,20.79432437,PA_UV vs PA_NoUV,membrane,0.008310655,candidate
BASP1,P80723,Brain acid soluble protein 1,1.645317376,23.41103032,PA_UV vs PA_NoUV,membrane,0.008664325,candidate
FAM114A2,Q9NRY5,Protein FAM114A2,-0.794580078,19.1867619,PA_UV vs PA_NoUV,membrane,0.00886078,candidate
CYP51A1,Q16850,Lanosterol 14-alpha demethylase,0.581261183,20.60047623,PA_UV vs PA_NoUV,membrane,0.0089804,no hit
PRRC2A,P48634,Protein PRRC2A,-0.880201625,17.47888291,PA_UV vs PA_NoUV,membrane,0.009373016,candidate
ATP5PO,P48047,"ATP synthase subunit O, mitochondrial",0.757600906,20.52672254,PA_UV vs PA_NoUV,membrane,0.009388119,candidate
ATP5F1E,P56381,"ATP synthase subunit epsilon, mitochondrial",0.74089716,19.67912705,PA_UV vs PA_NoUV,membrane,0.009632151,candidate
KIRREL1,Q96J84,Kin of IRRE-like protein 1,0.477927478,17.68296228,PA_UV vs PA_NoUV,membrane,0.009683157,no hit
OXCT1,P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",0.626569375,21.7605609,PA_UV vs PA_NoUV,membrane,0.009755765,candidate
GNAS,Q5JWF2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,0.631697379,23.11018255,PA_UV vs PA_NoUV,membrane,0.009802636,candidate
DPP3,Q9NY33,Dipeptidyl peptidase 3,-0.661481218,20.72969148,PA_UV vs PA_NoUV,membrane,0.009808663,candidate
GDI2,P50395,Rab GDP dissociation inhibitor beta,-0.531460605,22.29925556,PA_UV vs PA_NoUV,membrane,0.009827651,no hit
PDHB,P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",0.96141754,19.07848591,PA_UV vs PA_NoUV,membrane,0.009962099,candidate
NOTCH2,Q04721,Neurogenic locus notch homolog protein 2,0.561251124,17.86202797,PA_UV vs PA_NoUV,membrane,0.009999679,no hit
SAR1A,Q9NR31,GTP-binding protein SAR1a,-0.600890891,21.76423772,PA_UV vs PA_NoUV,membrane,0.010022208,candidate
PPP2CB,P62714,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,-0.536084286,20.89308121,PA_UV vs PA_NoUV,membrane,0.010147874,no hit
UBE2K,P61086,Ubiquitin-conjugating enzyme E2 K,-0.830321686,18.91818303,PA_UV vs PA_NoUV,membrane,0.010213456,candidate
TRIM28,Q13263,Transcription intermediary factor 1-beta,0.581228323,19.65272123,PA_UV vs PA_NoUV,membrane,0.010379806,no hit
ACTC1,P68032,"Actin, alpha cardiac muscle 1",0.584763948,21.82210314,PA_UV vs PA_NoUV,membrane,0.010401795,no hit
ANXA7,P20073,Annexin A7,-0.879266538,21.72079349,PA_UV vs PA_NoUV,membrane,0.010439174,candidate
TXN,P10599,Thioredoxin,-0.925938165,20.91026001,PA_UV vs PA_NoUV,membrane,0.010558488,candidate
SFN,P31947,14-3-3 protein sigma,-0.952523137,21.34302185,PA_UV vs PA_NoUV,membrane,0.010657998,candidate
ACAA2,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",0.715828653,18.57848581,PA_UV vs PA_NoUV,membrane,0.010670155,candidate
SSBP1,Q04837,"Single-stranded DNA-binding protein, mitochondrial",0.955186676,18.84172621,PA_UV vs PA_NoUV,membrane,0.010876428,candidate
FDPS,P14324,Farnesyl pyrophosphate synthase,-0.778289147,21.80870856,PA_UV vs PA_NoUV,membrane,0.010877872,candidate
TNPO1,Q92973,Transportin-1,-0.715812542,22.89896798,PA_UV vs PA_NoUV,membrane,0.010886456,candidate
TXNDC5,Q8NBS9,Thioredoxin domain-containing protein 5,0.461495025,22.31475574,PA_UV vs PA_NoUV,membrane,0.01108655,no hit
CMBL,Q96DG6,Carboxymethylenebutenolidase homolog,-0.666346139,19.06068301,PA_UV vs PA_NoUV,membrane,0.011861255,candidate
INF2,Q27J81,Inverted formin-2,0.463891618,17.48118303,PA_UV vs PA_NoUV,membrane,0.01200705,no hit
UGGT1,Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1,0.437353059,19.44349558,PA_UV vs PA_NoUV,membrane,0.012096653,no hit
SERPINB5,P36952,Serpin B5,-0.889974312,21.51436509,PA_UV vs PA_NoUV,membrane,0.012225948,candidate
MMP15,P51511,Matrix metalloproteinase-15,0.351382338,22.48889099,PA_UV vs PA_NoUV,membrane,0.01225499,no hit
TALDO1,P37837,Transaldolase,-1.085382607,22.64474083,PA_UV vs PA_NoUV,membrane,0.012416336,candidate
LDHA,P00338,L-lactate dehydrogenase A chain,-0.90985506,23.20088927,PA_UV vs PA_NoUV,membrane,0.012514293,candidate
ESD,P10768,S-formylglutathione hydrolase,-0.784472552,19.54061418,PA_UV vs PA_NoUV,membrane,0.012756431,candidate
PLS3,P13797,Plastin-3,0.552117264,24.3551843,PA_UV vs PA_NoUV,membrane,0.012778932,no hit
SLC16A1,P53985,Monocarboxylate transporter 1,0.539473065,22.97297981,PA_UV vs PA_NoUV,membrane,0.012843023,no hit
AXL,P30530,Tyrosine-protein kinase receptor UFO,0.553937445,19.19549153,PA_UV vs PA_NoUV,membrane,0.012856322,no hit
NUDT5,Q9UKK9,ADP-sugar pyrophosphatase,-0.863028315,20.02956522,PA_UV vs PA_NoUV,membrane,0.013306693,candidate
CLPTM1L,Q96KA5,Lipid scramblase CLPTM1L,0.810843444,18.50454928,PA_UV vs PA_NoUV,membrane,0.013498478,candidate
MIF,P14174,Macrophage migration inhibitory factor,-1.004913073,22.01089929,PA_UV vs PA_NoUV,membrane,0.013744434,candidate
AKR1B1,P15121,Aldo-keto reductase family 1 member B1,-0.680486315,21.47172009,PA_UV vs PA_NoUV,membrane,0.013924897,candidate
MYL6,P60660,Myosin light polypeptide 6,0.511518574,20.84307997,PA_UV vs PA_NoUV,membrane,0.014180911,no hit
EIF4G2,P78344,Eukaryotic translation initiation factor 4 gamma 2,-0.69020573,21.95091875,PA_UV vs PA_NoUV,membrane,0.014312564,candidate
FAS,P25445,Tumor necrosis factor receptor superfamily member 6,0.995034041,19.4058056,PA_UV vs PA_NoUV,membrane,0.014447448,candidate
COX4I1,P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",0.727666951,21.48128348,PA_UV vs PA_NoUV,membrane,0.014914175,candidate
UFL1,O94874,E3 UFM1-protein ligase 1,0.409787427,18.51915177,PA_UV vs PA_NoUV,membrane,0.015092975,no hit
NIBAN1,Q9BZQ8,Protein Niban 1,0.51416475,18.51850392,PA_UV vs PA_NoUV,membrane,0.015154485,no hit
ACO1,P21399,Cytoplasmic aconitate hydratase,-0.458749831,20.20769667,PA_UV vs PA_NoUV,membrane,0.015174045,no hit
