"accession","gene_symbol"
"AAB24227.1","electron transfer flavoprotein dehydrogenase, ETF dehydrogenase, ETF:ubiquinone oxido-reductase, ETF:QO [human, liver, Peptide, 617 aa]"
"XP_016877562.1","GLCE"""
"EAW93159.1","HADH2"""
"EAX07800.1","RPS6KA1"""
"ABQ95573.1","SEC15L3"""
"BAG36636.1","unnamed protein product [Homo sapiens]"
"CAI45989.1","DKFZp686I166"""
"EAW63188.1","FNTA"""
"NP_065174.1","CORO1B"""
"NP_005316.1","H1-1"""
"NP_001317392.1","ATL2"""
"XP_006717116.1","OSTF1"""
"Q9H270.1","VPS11"""
"AAQ18786.1","Rab11-family interacting protein 1B [Homo sapiens]"
"CAG33013.1","PTK9L"""
"O15027.3","SEC16A"""
"AAP36089.1","Rho guanine nucleotide exchange factor (GEF) 1 [Homo sapiens]"
"AAQ13444.1","Hep27-like protein [Homo sapiens]"
"EAW77767.1","MAP2K1"""
"Q9HCN4.1","GPN1"""
"EAW95181.1","ACTR3"""
"AAH25959.1","DYNC1LI2"""
"XP_011520731.1","MAPK8IP3"""
"BAG37782.1","unnamed protein product [Homo sapiens]"
"AAL38980.1","WD repeat protein Gemin5 [Homo sapiens]"
"CAD97935.1","DKFZp686A1586"""
"XP_005273547.1","IKBKB"""
"BAA91714.1","unnamed protein product [Homo sapiens]"
"BAA91032.1","unnamed protein product [Homo sapiens]"
"NP_001138415.1","RAB34"""
"XP_016874389.1","DGKA"""
"Q5T3I0.2","GPATCH4"""
"AAF06354.1","melanoma-associated antigen MG50, partial [Homo sapiens]"
"NP_110440.1","CLPB"""
"BAG61757.1","unnamed protein product [Homo sapiens]"
"CAA43408.1","GM2-activator protein, partial [Homo sapiens]"
"AAK61256.1","RUVBL"""
"AAH27603.1","DAGLB"""
"NP_001304995.1","SEC24D"""
"XP_005264438.1","TMEM214"""
"NP_079100.2","ZC3H14"""
"AAH01681.1","XPNPEP3"""
"CAD97933.1","DKFZp686E2459"""
"Q03001.4","DST"""
"XP_016868469.1","RBPMS"""
"NP_079170.2","NOL10"""
"AAA92733.1","hydroxymethylglutaryl-CoA lyase [Homo sapiens]"
"NP_110409.2","CLPTM1L"""
"AAH00338.1","PSMD7"""
"AAG53603.1","RANBP21"""
"EAW73126.1","ZNF326"""
"NP_075060.1","CENPH"""
"EAW81086.1","RBM25"""
"Q8IWA4.2","MFN1"""
"NP_006545.1","MTX2"""
"NP_055620.1","EPM2AIP1"""
"Q96EN8.2","MOCOS"""
"NP_001128512.1","DCTN1"""
"AAQ89432.1","mannosyltransferase, partial [Homo sapiens]"
"CAB66619.1","DKFZp564E1878"""
"XP_005245570.1","ANP32E"""
"NP_058432.1","ADD3"""
"EAW96898.1","MYL6B"""
"XP_011537286.1","SCAF11"""
"AAK57555.1","MEG4"""
"XP_016862083.1","NCKIPSD"""
"XP_005258027.1","LIG3"""
"AAH03403.1","RAP2C"""
"BAD92402.1","ribosomal protein S10 variant, partial [Homo sapiens]"
"BAF84286.1","unnamed protein product [Homo sapiens]"
"ALQ34022.1","SPG20"""
"NP_001316055.1","DNAJC13"""
"NP_001275500.1","TMEM9"""
"BAG50907.1","unnamed protein product [Homo sapiens]"
"AAD51886.1","FAF1"""
"NP_065104.1","AVEN"""
"AAO62549.1","KNS2"""
"BAG35501.1","unnamed protein product [Homo sapiens]"
"AAP13535.1","MSH3"""
"ACF05699.1","CSTF2"""
"XP_016856104.1","EPS15"""
"AAQ89200.1","GRLD6308 [Homo sapiens]"
"NP_001338285.1","MMS19"""
"XP_016855626.1","GLMN"""
"AAQ21035.1","5'-nucleotidase [Homo sapiens]"
"EAX07709.1","DNAJC8"""
"XP_011515270.2","AGO2"""
"NP_065715.1","DECR2"""
"BAG36951.1","unnamed protein product [Homo sapiens]"
"XP_006713209.1","MAP4"""
"XP_011539620.1","HSPG2"""
"AAG38502.1","STE20-like kinase, partial [Homo sapiens]"
"CAA59449.1","kinesin-related protein [Homo sapiens]"
"XP_011522806.1","UNC13D"""
"CAA85776.1","phospholipase C beta 3 [Homo sapiens]"
"BAC23109.1","KIAA2013"""
"XP_016880481.1","TK1"""
"CAA52083.1","PHKA 1"""
"Q13636.1","RAB31"""
"ACX50616.1","hepatocellular carcinoma related protein 2 [Homo sapiens]"
"BAA91579.1","unnamed protein product [Homo sapiens]"
"AAZ93379.1","cyclophilin-33B [Homo sapiens]"
"NP_003095.2","SORD"""
"BAD96193.1","single-strand selective monofunctional uracil DNA glycosylase variant, partial [Homo sapiens]"
"BAB55206.1","unnamed protein product [Homo sapiens]"
"NP_001098016.1","RPP30"""
"EAW73504.1","RP3-402G11.5"""
"NP_001284487.1","RPA2"""
"NP_001340996.1","ENOSF1"""
"NP_001034937.1","GPX4"""
"NP_006741.1","SNTB2"""
"NP_001317273.1","TPM1"""
"XP_011533826.1","EPB41L2"""
"AAQ88869.1","SLC30A5 [Homo sapiens]"
"NP_067026.3","SRPRB"""
"NP_068751.4","RIC8A"""
"XP_011539258.1","EPB41"""
"NP_001949.1","EEF1A2"""
"Q9Y4D8.5","HECTD4"""
"NP_065132.1","GOPC"""
"O75477.1","ERLIN1"""
"EAW95471.1","USP10"""
"NP_005871.1","DNAJA2"""
"NP_006550.1","KHDRBS1"""
"NP_005329.3","HIP1"""
"BAB15170.1","unnamed protein product [Homo sapiens]"
"BAB13892.1","unnamed protein product [Homo sapiens]"
"P61758.3","VBP1"""
"NP_076950.1","DDX50"""
"BAM95192.1","TPM3-ROS1"""
"AAB36398.1","alpha 1 syntrophin"""
"NP_060024.2","PARP14"""
"XP_016883091.1","ADRM1"""
"XP_005245844.1","EMC1"""
"EAX00403.1","CEBPZ"""
"AAH43565.1","FARSA"""
"ALQ33506.1","ETFA"""
"NP_001004060.1","NOMO2"""
"EAW74913.1","MRPL48"""
"BAD93235.1","CUL4A"""
"AAH11855.1","DNAJA3"""
"BAA02799.3","KIAA0010"""
"AAH39896.1","Similar to ROD1 regulator of differentiation 1 (S. pombe), partial [Homo sapiens]"
"CAC39299.1","SRPK1"""
"NP_112594.1","DOHH"""
"AAH20107.1","NUP133"""
"XP_011518575.1","MRPL23"""
"AAH05404.1","SEC23B"""
"NP_003744.1","EIF3D"""
"BAG35870.1","unnamed protein product [Homo sapiens]"
"NP_036228.1","APPL1"""
"EAW73163.1","PKN2"""
"BAD92317.1","brain glycogen phosphorylase variant, partial [Homo sapiens]"
"NP_001284519.1","POLR1G"""
"EAW55686.1","TOM1L2"""
"AAP34410.1","SOD2"""
"BAG64810.1","unnamed protein product [Homo sapiens]"
"XP_005256556.1","DRG2"""
"NP_001268231.1","GFM2"""
"AAA62667.1","myosin-IC [Homo sapiens]"
"AAH88360.1","GRHPR"""
"NP_057444.2","TACO1"""
"AAH73866.1","PRMT6"""
"NP_001341968.1","HDAC3"""
"NP_037374.1","CFAP20"""
"NP_006397.1","PRDX4"""
"AAA35484.1","26S protease (S4) regulatory subunit [Homo sapiens]"
"NP_001123543.1","EPN1"""
"XP_011516714.1","FAM120A"""
"AAK13047.1","OLD35"""
"XP_016873518.1","SCYL1"""
"Q96I51.2","RCC1L"""
"BAD96472.1","nucleoporin 54kDa variant, partial [Homo sapiens]"
"BAG58155.1","unnamed protein product [Homo sapiens]"
"XP_005265126.1","GOLGA4"""
"AFQ94039.1","ANTXR1"""
"NP_000253.1","NAGA"""
"EAW48545.1","MDN1"""
"XP_005249035.1","MTCH1"""
"AAH08913.1","TXNDC12"""
"BAB55174.1","unnamed protein product [Homo sapiens]"
"CAC19791.1","UNC93"""
"NP_006339.3","COG5"""
"XP_005248298.1","NADK2"""
"AAY84562.1","CSNK1A1"""
"NP_001243399.1","PLEKHA5"""
"AAC39938.1","mutant desmin [Homo sapiens]"
"NP_079483.3","FLAD1"""
"AAH08772.1","DNAJC11"""
"NP_002426.1","MPI"""
"AAP36044.1","signal transducer and activator of transcription 6, interleukin-4 induced [Homo sapiens]"
"NP_976324.2","RBM12B"""
"CAD30677.1","PYM"""
"ALA62332.1","BCKDHB"""
"AAH68517.1","RETSAT"""
"Q9Y4E1.3","WASHC2C"""
"EAW53301.1","S100A1"""
"AAC24312.1","A-152E5.9"""
"BAG52417.1","unnamed protein product [Homo sapiens]"
"AAH71587.1","ARGLU1"""
"NP_006139.1","LASP1"""
"NP_003895.1","ZPR1"""
"AAF29130.1","HSPC166 [Homo sapiens]"
"AAD23914.1","UBA2"""
"BAF84964.1","unnamed protein product [Homo sapiens]"
"NP_001104792.1","DDX54"""
"XP_016880713.1","VPS25"""
"XP_005273880.1","MRPL21"""
"NP_061940.1","GNL3L"""
"BAH13217.1","unnamed protein product [Homo sapiens]"
"AAH22072.2","BID"""
"AAC99402.1","proteasome subunit HSPC [Homo sapiens]"
"AAH09115.1","MARS2"""
"NP_003840.2","SUCLG1"""
"AAH50564.1","SMARCC1"""
"AAL15579.1","hFEM-2 [Homo sapiens]"
"NP_001152.1","NUDT2"""
"BAG35970.1","unnamed protein product [Homo sapiens]"
"CAA07243.1","drim"""
"BAA06098.1","proteasome subunit Y [Homo sapiens]"
"BAH13340.1","unnamed protein product [Homo sapiens]"
"CAH18271.1","DKFZp781H1753"""
"NP_005868.1","SF3A1"""
"Q5R3I4.1","TTC38"""
"XP_011531316.1","LDAH"""
"AAK77961.1","coactivator activator [Homo sapiens]"
"AAQ13428.1","citrate synthase [Homo sapiens]"
"BAF82120.1","unnamed protein product [Homo sapiens]"
"NP_036227.1","AP3M1"""
"XP_011543847.1","CTPS2"""
"Q5TZA2.1","CROCC"""
"AAA35568.1","aspartate aminotransferase precursor (2.6.1.1) [Homo sapiens]"
"BAD96419.1","lactamase, beta 2 variant, partial [Homo sapiens]"
"XP_006718549.1","EHBP1L1"""
"Q16850.3","CYP51A1"""
"BAB71043.1","unnamed protein product [Homo sapiens]"
"AAH52244.1","METTL3"""
"AAG36781.1","PPA2"""
"XP_006718422.1","API5"""
"AAH26185.1","SCCPDH"""
"EAW89583.1","GAA"""
"EAW78851.1","PFN2"""
"BAD97102.1","tumor protein p53 inducible protein 3 variant, partial [Homo sapiens]"
"AAH34969.1","PRPF4B"""
"BAF82993.1","unnamed protein product [Homo sapiens]"
"XP_011510188.1","MZT2B"""
"EAW98100.1","TESC"""
"NP_149124.3","CNP"""
"CAG38740.1","PCNA"""
"NP_001830.1","CNN3"""
"NP_055601.2","ARHGEF17"""
"EAW48952.1","AP3S1"""
"NP_075266.1","ACSL4"""
"EAW60869.1","CNTNAP1"""
"NP_008921.1","WASF2"""
"AAT40745.1","RIF1"""
"BAD92761.1","protein tyrosine phosphatase, non-receptor type 12 variant, partial [Homo sapiens]"
"XP_016870293.1","SPOUT1"""
"NP_296373.1","FBXO21"""
"AAH64391.1","CCDC6"""
"Q6ZXV5.2","TMTC3"""
"NP_006160.1","NNMT"""
"AAA35817.1","fructose-1,6-bisphosphatase [Homo sapiens]"
"NP_001186601.1","CALU"""
"BAG35276.1","unnamed protein product [Homo sapiens]"
"XP_011523944.1","SMCHD1"""
"P18583.4","SON"""
"BAD92951.1","crystallin, zeta variant, partial [Homo sapiens]"
"AAA18639.1","p300 protein [Homo sapiens]"
"AAH09973.1","DUS3L"""
"NP_004271.1","EEF1E1"""
"XP_005272291.1","GTF3C5"""
"AAH20746.1","PNPLA4"""
"XP_016857237.1","ENAH"""
"NP_149014.3","SYDE1"""
"XP_006724806.1","FHL1"""
"CAA07022.1","beta-tubulin cofactor D [Homo sapiens]"
"ALQ33814.1","TEAD4"""
"BAG35376.1","unnamed protein product [Homo sapiens]"
"XP_005251524.1","NFIB"""
"XP_016861535.1","ACAP2"""
"O43169.2","CYB5B"""
"XP_016863202.1","ADH4"""
"EAW92926.1","RPL9"""
"XP_011509554.1","ORC2"""
"EAW54485.1","hCG2024613, isoform CRA_b [Homo sapiens]"
"EAW71660.1","PEX14"""
"EAX04120.1","TNRC5"""
"CBW44088.1","HLA-B"""
"BAE45763.1","Nbla10058"""
"NP_001171501.1","SF1"""
"EAW76223.1","PROCR"""
"AAH18160.1","TYMP"""
"AAP97151.1","D-myo-inositol-3-phosphate synthase [Homo sapiens]"
"NP_039268.1","DDAH2"""
"AAH69224.1","CCNY"""
"BAA25473.3","KIAA0547"""
"EAW95840.1","MTX3"""
"AAH37905.1","CRADD"""
"EAW94701.1","UBE2Z"""
"NP_001171940.1","NCAPH2"""
"NP_066012.1","METTL14"""
"BAG51793.1","unnamed protein product [Homo sapiens]"
"NP_001138473.1","NEK6"""
"Q86V81.3","ALYREF"""
"XP_016875199.1","DDX55"""
"Q96P47.2","AGAP3"""
"EAW75406.1","TAF4"""
"AAM75154.1","chronic myelogenous leukemia tumor antigen 28 [Homo sapiens]"
"EAX07962.1","hCG1984214, isoform CRA_a [Homo sapiens]"
"EAW53296.1","S100A13"""
"AAH07220.1","CARS2"""
"AAH64393.1","FPGS"""
"NP_001317000.1","DCLK1"""
"EAX10996.1","KIAA1604"""
"NP_056308.3","KANK2"""
"AAP97288.1","MSIN3A [Homo sapiens]"
"XP_016873329.1","PAFAH1B2"""
"AAH06289.1","FLJ11151"""
"BAD92224.1","solute carrier family 2 (facilitated glucose transporter), member 1 variant, partial [Homo sapiens]"
"AAD00728.1","JCL-1"""
"EAW72986.1","AGL"""
"Q9NVD7.1","PARVA"""
"AAB67052.1","RANBP8 [Homo sapiens]"
"O43663.2","PRC1"""
"XP_005249549.1","MDC1"""
"NP_057126.2","EXOSC3"""
"EAW87239.1","EIF3S9"""
"AAQ15171.1","TROPH"""
"AAC41707.1","SLC16A1"""
"AAA36534.1","prolyl 4-hydroxylase alpha subunit (EC 1.14.11.2) [Homo sapiens]"
"NP_001333158.1","RELCH"""
"XP_016884904.1","GPKOW"""
"AAF14870.1","vacuolar ATPase isoform VA68 [Homo sapiens]"
"AAO25962.1","HPS5"""
"AAK14922.1","HPHase [Homo sapiens]"
"P49454.2","CENPF"""
"AAA61209.1","TOP2A"""
"AAB47807.1","WD protein IR10 [Homo sapiens]"
"NP_114405.1","STARD3NL"""
"NP_060640.2","RPRD1A"""
"AAH37283.1","ZMPSTE24"""
"AAH31055.2","HDAC2"""
"NP_056461.1","RAP1B"""
"EAX06732.1","TMEM48"""
"NP_002085.2","GSPT1"""
"XP_011515231.1","PUF60"""
"AAH06372.1","ACTR1B"""
"CAI45968.1","DKFZp781N0678"""
"AAF29085.1","HSPC121 [Homo sapiens]"
"AAH00952.1","TRMT61B"""
"EAX03011.1","COMT"""
"BAH13545.1","unnamed protein product [Homo sapiens]"
"NP_002931.2","ABCE1"""
"Q9UKV3.2","ACIN1"""
"EAW71655.1","DFFA"""
"Q13505.2","MTX1"""
"AAI36510.1","TBC1D13"""
"AAC50931.1","vacuolar protein sorting homolog h-vps45 [Homo sapiens]"
"BAG59232.1","unnamed protein product [Homo sapiens]"
"XP_005245072.1","PRRC2C"""
"CAA73027.1","IFRD2"""
"NP_002653.1","PLD1"""
"AAC34362.1","NADH dehydrogenase-ubiquinone Fe-S protein 2 precursor [Homo sapiens]"
"AAA58661.1","HO57"""
"BAB15621.1","unnamed protein product [Homo sapiens]"
"NP_056167.1","POFUT1"""
"Q7Z3J2.2","VPS35L"""
"NP_009210.1","U2AF2"""
"BAD93080.1","proteasome 26S non-ATPase subunit 2 variant, partial [Homo sapiens]"
"AAH06475.1","C3orf26"""
"NP_705841.2","LPCAT4"""
"AAH30652.1","TEX10"""
"NP_115786.1","HOOK3"""
"XP_016882323.1","NFIC"""
"EAW97066.1","hCG2044065 [Homo sapiens]"
"BAA08078.1","rab GDI alpha [Homo sapiens]"
"NP_004539.1","NDUFB10"""
"EAX00978.1","YWHAQ"""
"CAD97651.1","DKFZp686G0852"""
"EAW73160.1","GTF2B"""
"XP_016882478.1","MAP2K2"""
"BAD96528.1","transitional epithelia response protein variant, partial [Homo sapiens]"
"BAF85694.1","unnamed protein product [Homo sapiens]"
"Q8WWQ0.2","PHIP"""
"NP_733936.1","ALDH5A1"""
"NP_001182484.1","CLINT1"""
"NP_036379.2","SEPHS1"""
"NP_001166958.1","NKRF"""
"AAC35588.1","biliverdin-IX alpha reductase [Homo sapiens]"
"AAC50500.1","P5CDh"""
"EAW70091.1","FH"""
"P06756.2","ITGAV"""
"EAW55163.1","PECI"""
"AAH06547.1","EEF2"""
"BAG56770.1","unnamed protein product [Homo sapiens]"
"CAD98028.1","DKFZp686M22160"""
"BAA91803.1","unnamed protein product [Homo sapiens]"
"CAD89916.1","DKFZp451I053"""
"BAD96662.1","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) variant, partial [Homo sapiens]"
"XP_006719604.1","RBMS2"""
"BAG51639.1","unnamed protein product [Homo sapiens]"
"AAH66645.1","MAT2B"""
"EAX06085.1","ADH5"""
"XP_006715470.1","SYNE1"""
"NP_000572.2","GPX1"""
"AAH62638.1","SNX5"""
"ABQ66268.1","CNOT1"""
"XP_005262724.1","UGDH"""
"CAA05832.1","unnamed protein product [Homo sapiens]"
"NP_060537.3","MAP7D1"""
"AAH01902.1","IDH3G"""
"AAX82193.1","ACT"""
"XP_011513883.1","C7orf50"""
"NP_001254479.2","TTN"""
"AAA65442.1","Pak2"""
"XP_016867604.1","HUS1"""
"XP_011518045.1","CUL2"""
"AAQ89407.1","TXNDC4 [Homo sapiens]"
"BAG61467.1","unnamed protein product [Homo sapiens]"
"XP_011535921.1","HARS2"""
"XP_016882687.1","UBA52"""
"NP_036524.1","PEF1"""
"AAA16142.1","CDC42 GTPase-activating protein, partial [Homo sapiens]"
"NP_002622.2","PGD"""
"NP_001317259.1","LUC7L3"""
"EAW99923.1","RAB1A"""
"NP_006640.2","UTP14A"""
"NP_002084.2","GSK3B"""
"AAH00967.2","NUDCD1"""
"AAB05662.1","SOD1"""
"BAD93034.1","PRPF4 protein variant, partial [Homo sapiens]"
"EAW53485.1","PRUNE"""
"NP_055428.1","FAF2"""
"EAW76289.1","RALY"""
