Trial,Accession,gene_name,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Fold_change,Control_abundance,Sample_abundance,,,
3,NP_005900.2,MAP1B,microtubule-associated protein 1B isoform 1 [Homo sapiens],3,3,3,3,2468,270.5,8.38,3,0,0,0,,,
3,XP_011519391.1,IPO5,PREDICTED: importin-5 isoform X1 [Homo sapiens],3,2,3,2,1115,125.5,6.07,2,0,0,0,,,
3,XP_016885266.1,UBA1,PREDICTED: ubiquitin-like modifier-activating enzyme 1 isoform X1 [Homo sapiens],3,2,2,2,1109,123.1,5.33,2,0,0,0,,,
3,NP_056280.2,GEMIN5,gem-associated protein 5 isoform 1 [Homo sapiens],3,2,2,2,1508,168.5,4.97,2,0,0,0,,,
3,NP_976221.1,HDLBP,vigilin isoform a [Homo sapiens],3,2,2,2,1268,141.4,4.7,2,0,0,0,,,
3,XP_011508942.1,CPS1,"PREDICTED: carbamoyl-phosphate synthase [ammonia], mitochondrial isoform X1 [Homo sapiens]",3,2,3,2,1511,166.2,4.27,2,0,0,0,,,
3,XP_016874237.1,XPOT,PREDICTED: exportin-T isoform X1 [Homo sapiens],3,2,2,2,962,109.9,4.19,2,0,0,0,,,
1,NP_001316143.1,MIA2,cTAGE family member 5 isoform 8 precursor [Homo sapiens],4,3,3,3,1412,159.7,8.17,3,0,0,0,,,
1,NP_001271203.1,HECTD2,probable E3 ubiquitin-protein ligase HECTD2 isoform c [Homo sapiens],4,2,3,2,780,88.6,4.21,2,0,0,0,,,
2,NP_066997.3,CCAR2,cell cycle and apoptosis regulator protein 2 [Homo sapiens],4,2,3,2,923,102.8,6.58,2,0,0,0,,,
2,NP_003650.1,AGPS,"alkyldihydroxyacetonephosphate synthase, peroxisomal precursor [Homo sapiens]",4,2,2,2,658,72.9,4.92,2,0,0,0,,,
1,NP_001124437.1,SUN1,SUN domain-containing protein 1 isoform a [Homo sapiens],5,2,2,2,785,87.1,6.03,2,0,0,0,,,
1,NP_066997.3,CCAR2,cell cycle and apoptosis regulator protein 2 [Homo sapiens],5,2,2,2,923,102.8,5.85,2,0,0,0,,,
1,NP_631961.1,TAF15,TATA-binding protein-associated factor 2N isoform 1 [Homo sapiens],5,2,2,1,592,61.8,5.6,2,0,0,0,,,
1,NP_001026859.1,PLAA,phospholipase A-2-activating protein isoform 1 [Homo sapiens],5,2,2,2,795,87.1,4.82,2,0,0,0,,,
1,XP_011523401.1,FKBP10,PREDICTED: peptidyl-prolyl cis-trans isomerase FKBP10 isoform X1 [Homo sapiens],5,2,2,2,601,66.3,4.77,2,0,0,0,,,
1,NP_006461.3,TRIM16,tripartite motif-containing protein 16 isoform a [Homo sapiens],5,2,2,2,564,63.9,4.39,2,0,0,0,,,
1,NP_002931.2,ABCE1,ATP-binding cassette sub-family E member 1 [Homo sapiens],5,2,2,2,599,67.3,4.22,2,0,0,0,,,
1,XP_011507705.1,TOR1AIP1,PREDICTED: torsin-1A-interacting protein 1 isoform X1 [Homo sapiens],6,2,3,2,599,67.8,10.33,2,0,0,0,,,
1,NP_004951.1,FUS,RNA-binding protein FUS isoform 1 [Homo sapiens],6,2,2,1,526,53.4,5.65,2,0,0,0,,,
1,NP_003650.1,AGPS,"alkyldihydroxyacetonephosphate synthase, peroxisomal precursor [Homo sapiens]",6,2,2,2,658,72.9,5.5,2,0,0,0,,,
1,XP_005268101.1,WARS1,"PREDICTED: tryptophan--tRNA ligase, cytoplasmic isoform X1 [Homo sapiens]",6,2,2,2,471,53.1,4.86,2,0,0,0,,,
1,XP_016881125.1,EPB41L3,PREDICTED: band 4.1-like protein 3 isoform X22 [Homo sapiens],6,2,2,2,883,98.4,4.67,2,0,0,0,,,
1,XP_011536993.1,SPATS2,PREDICTED: spermatogenesis-associated serine-rich protein 2 isoform X1 [Homo sapiens],6,2,2,2,545,59.5,4.39,2,0,0,0,,,
2,NP_001036816.1,TPM3,tropomyosin alpha-3 chain isoform Tpm3.2cy [Homo sapiens],6,2,3,2,248,28.9,8.92,2,0,0,0,,,
2,XP_005247870.2,FXR1,PREDICTED: fragile X mental retardation syndrome-related protein 1 isoform X1 [Homo sapiens],6,2,3,2,677,76.2,5.43,2,0,0,0,,,
2,NP_001014437.1,CARS1,"cysteine--tRNA ligase, cytoplasmic isoform c [Homo sapiens]",6,2,2,2,831,94.6,4.66,2,0,0,0,,,
3,NP_064555.2,NCLN,nicalin isoform 1 precursor [Homo sapiens],6,2,2,2,563,62.9,4.61,2,0,0,0,,,
1,NP_112556.2,HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B isoform a [Homo sapiens],7,2,4,1,332,35.9,9.71,2,0,0,0,,,
1,NP_001123561.1,KARS1,lysine--tRNA ligase isoform 1 [Homo sapiens],7,2,3,2,625,71.5,6.68,2,0,0,0,,,
3,NP_066997.3,CCAR2,cell cycle and apoptosis regulator protein 2 [Homo sapiens],7,2,3,2,923,102.8,5.86,2,0,0,0,,,
3,XP_016864369.1,WDR1,PREDICTED: WD repeat-containing protein 1 isoform X1 [Homo sapiens],7,2,2,2,659,72,4.75,2,0,0,0,,,
1,XP_011535844.1,FAM114A2,PREDICTED: protein FAM114A2 isoform X1 [Homo sapiens],8,2,2,2,505,55.4,6.57,2,0,0,0,,,
2,NP_848696.1,HM13,minor histocompatibility antigen H13 isoform 3 [Homo sapiens],8,2,2,1,426,46.8,4.86,2,0,0,0,,,
1,XP_016869378.1,EPIPL,PREDICTED: epiplakin isoform X1 [Homo sapiens],9,5,9,1,5121,558.8,19.74,5,0,0,0,,,
1,XP_016856050.1,TXLNA,PREDICTED: alpha-taxilin isoform X1 [Homo sapiens],9,2,5,2,579,65.5,12.1,2,0,0,0,,,
1,NP_001317160.1,NAP1L1,nucleosome assembly protein 1-like 1 isoform 1 [Homo sapiens],9,2,4,2,391,45.3,9.45,2,0,0,0,,,
1,NP_001334819.1,TMX2,thioredoxin-related transmembrane protein 2 isoform 4 [Homo sapiens],9,2,4,2,303,34.8,8.1,2,0,0,0,,,
1,NP_542785.1,KRT72,"keratin, type II cytoskeletal 72 isoform 1 [Homo sapiens]",9,3,3,1,511,55.8,7.5,3,0,0,0,,,
1,NP_060831.2,AGPAT5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon [Homo sapiens],9,2,2,2,364,42,6.22,2,0,0,0,,,
2,NP_055555.1,EIF4A3,eukaryotic initiation factor 4A-III [Homo sapiens],9,2,3,1,411,46.8,7.69,2,0,0,0,,,
3,NP_004684.2,KRT75,"keratin, type II cytoskeletal 75 [Homo sapiens]",9,2,2,1,551,59.5,5.23,2,0,0,0,,,
1,NP_003642.3,YBX3,Y-box-binding protein 3 isoform a [Homo sapiens],10,2,2,1,372,40.1,6.22,2,0,0,0,,,
3,NP_001485.2,GDI2,rab GDP dissociation inhibitor beta isoform 1 [Homo sapiens],10,2,3,2,445,50.6,5.61,2,0,0,0,,,
3,NP_002788.1,PSMB5,proteasome subunit beta type-5 isoform 1 [Homo sapiens],10,2,2,2,263,28.5,4.16,2,0,0,0,,,
1,NP_001335169.1,PCBP3,poly(rC)-binding protein 3 isoform 5 [Homo sapiens],11,3,12,1,394,41.8,34.37,3,0,0,0,,,
1,NP_055545.1,MLEC,malectin isoform1 precursor [Homo sapiens],11,2,3,2,292,32.2,10,2,0,0,0,,,
1,NP_789839.1,PSME3,proteasome activator complex subunit 3 isoform 2 [Homo sapiens],11,2,2,2,267,30.9,5.98,2,0,0,0,,,
1,NP_000156.1,GJA1,gap junction alpha-1 protein [Homo sapiens],11,2,2,2,382,43,5.97,2,0,0,0,,,
2,NP_003642.3,YBX3,Y-box-binding protein 3 isoform a [Homo sapiens],11,3,3,1,372,40.1,7.42,3,0,0,0,,,
1,NP_001203.1,C1QBP,"complement component 1 Q subcomponent-binding protein, mitochondrial precursor [Homo sapiens]",12,2,3,2,282,31.3,5.51,2,0,0,0,,,
1,NP_002800.2,PSMD3,26S proteasome non-ATPase regulatory subunit 3 [Homo sapiens],13,3,3,3,534,60.9,7.91,3,0,0,0,,,
2,NP_001091.1,ACTA1,"actin, alpha skeletal muscle [Homo sapiens]",13,3,3,1,377,42,7.7,3,0,0,0,,,
2,NP_003891.1,SQSTM1,sequestosome-1 isoform 1 [Homo sapiens],13,2,2,2,440,47.7,6.04,2,0,0,0,,,
1,NP_001229971.1,HLA-C,"HLA class I histocompatibility antigen, Cw-1 alpha chain precursor [Homo sapiens]",14,3,7,1,366,40.7,12.87,3,0,0,0,,,
1,NP_006701.1,COPS8,COP9 signalosome complex subunit 8 isoform 1 [Homo sapiens],14,2,2,2,209,23.2,4.4,2,0,0,0,,,
3,NP_003891.1,SQSTM1,sequestosome-1 isoform 1 [Homo sapiens],15,3,3,3,440,47.7,6.83,3,0,0,0,,,
1,XP_011526998.1,MAPRE1,PREDICTED: microtubule-associated protein RP/EB family member 1 isoform X1 [Homo sapiens],16,2,9,2,268,30,13.71,2,0,0,0,,,
2,NP_000517.2,KRT14,"keratin, type I cytoskeletal 14 [Homo sapiens]",16,5,5,2,472,51.6,12.44,5,0,0,0,,,
1,NP_001300870.1,RHOA,transforming protein RhoA isoform 1 precursor [Homo sapiens],17,2,2,1,193,21.8,5.06,2,0,0,0,,,
2,NP_006077.2,TUBB3,tubulin beta-3 chain isoform 1 [Homo sapiens],17,5,8,1,450,50.4,21.59,5,0,0,0,,,
3,NP_006845.1,KDELR2,ER lumen protein-retaining receptor 2 isoform 1 [Homo sapiens],17,2,3,2,212,24.4,7.66,2,0,0,0,,,
2,NP_000301.1,PPT1,palmitoyl-protein thioesterase 1 isoform 1 precursor [Homo sapiens],18,2,3,2,306,34.2,7.12,2,0,0,0,,,
1,NP_665734.1,MGST1,microsomal glutathione S-transferase 1 isoform a [Homo sapiens],19,2,2,2,155,17.6,4.64,2,0,0,0,,,
1,NP_115914.1,TUBB6,tubulin beta-6 chain isoform 1 [Homo sapiens],21,7,16,2,446,49.8,35.53,7,0,0,0,,,
1,XP_016883528.1,YWHAB,PREDICTED: 14-3-3 protein beta/alpha isoform X1 [Homo sapiens],23,4,9,2,246,28.1,25.22,4,0,0,0,,,
2,NP_001060.1,TUBB2A,tubulin beta-2A chain isoform 1 [Homo sapiens],23,6,9,1,445,49.9,24.45,6,0,0,0,,,
1,NP_001485.2,GDI2,rab GDP dissociation inhibitor beta isoform 1 [Homo sapiens],24,6,10,3,445,50.6,18.13,6,0,0,0,,,
2,NP_001435.1,FABP5,"fatty acid-binding protein, epidermal [Homo sapiens]",30,2,3,2,135,15.2,7.35,2,0,0,0,,,
1,NP_001274.1,AP1S1,AP-1 complex subunit sigma-1A [Homo sapiens],33,2,3,2,158,18.7,8.41,2,0,0,0,,,
3,NP_000843.1,GSTP1,glutathione S-transferase P [Homo sapiens],38,4,5,4,210,23.3,10.31,4,0,0,0,,,
3,NP_006073.2,TUBA1B,tubulin alpha-1B chain [Homo sapiens],41,10,18,3,451,50.1,35.63,10,0,0,0,,,
1,NP_006073.2,TUBA1B,tubulin alpha-1B chain [Homo sapiens],59,15,42,1,451,50.1,107.89,15,0,0,0,,,
2,NP_002263.3,KRT4,"keratin, type II cytoskeletal 4 [Homo sapiens]",8,2,4,2,520,56.1,7.54,2,0.01,2708878.188,0,,,
1,NP_002270.1,KRT33B,"keratin, type I cuticular Ha3-II [Homo sapiens]",12,4,4,2,404,46.2,9.64,4,0.01,138954.6094,0,,,
1,NP_149022.3,KRT82,"keratin, type II cuticular Hb2 [Homo sapiens]",6,2,3,2,513,56.6,4.61,2,0.01,87837.69531,0,,,
1,NP_002268.2,KRT31,"keratin, type I cuticular Ha1 [Homo sapiens]",8,3,3,1,416,47.2,6.83,3,0.01,83128.28125,0,,,
1,NP_002274.1,KRT85,"keratin, type II cuticular Hb5 isoform 1 [Homo sapiens]",5,2,2,2,507,55.8,4.34,2,0.01,63943.07422,0,,,
2,NP_001276675.1,GAPDH,glyceraldehyde-3-phosphate dehydrogenase isoform 1 [Homo sapiens],42,8,15,8,335,36,39.23,8,2.942,170262769.8,500839212,,,
1,NP_001092.1,ACTB,"actin, cytoplasmic 1 [Homo sapiens]",54,13,58,8,375,41.7,166.98,13,17.102,24992397.9,427418560.9,,,
2,XP_006720633.1,PKM,PREDICTED: pyruvate kinase PKM isoform X1 [Homo sapiens],34,12,21,12,605,65.8,49.25,12,3.674,97624522.72,358640759.5,,,
2,XP_005257400.1,KRT10,"PREDICTED: keratin, type I cytoskeletal 10 isoform X1 [Homo sapiens]",30,13,23,12,624,63.3,60.08,13,0.774,452469915.3,350142975.5,,,
1,NP_001276675.1,GAPDH,glyceraldehyde-3-phosphate dehydrogenase isoform 1 [Homo sapiens],60,12,42,12,335,36,112.54,12,20.333,15075830.4,306535913.4,,,
1,XP_006720633.1,PKM,PREDICTED: pyruvate kinase PKM isoform X1 [Homo sapiens],50,27,76,27,605,65.8,218.08,27,17.175,14985039.82,257372941.8,,,
2,NP_006112.3,KRT1,"keratin, type II cytoskeletal 1 [Homo sapiens]",29,13,43,12,644,66,92.49,13,1.571,129970584.8,204206438.9,,,
1,XP_005257069.1,CLTC,PREDICTED: clathrin heavy chain 1 isoform X1 [Homo sapiens],14,17,23,17,1682,192.3,59.24,17,10.062,19524251.24,196444707.3,,,
2,NP_001092.1,ACTB,"actin, cytoplasmic 1 [Homo sapiens]",30,7,21,5,375,41.7,54.03,7,2.257,86694042,195631977.5,,,
1,NP_003534.1,H4C8,histone H4 [Homo sapiens],42,5,9,5,103,11.4,20.61,5,12.576,14386174.19,180916306,,,
2,NP_003371.2,VIM,vimentin [Homo sapiens],35,14,28,14,466,53.6,62.1,14,2.749,61485987.16,169010948.3,,,
1,NP_003371.2,VIM,vimentin [Homo sapiens],47,20,47,20,466,53.6,123.96,20,23.907,6184913.189,147861677.8,,,
1,NP_001158886.1,LDHA,L-lactate dehydrogenase A chain isoform 3 [Homo sapiens],31,10,18,9,361,39.8,45.38,10,19.627,7486818.398,146946461.8,,,
1,NP_006112.3,KRT1,"keratin, type II cytoskeletal 1 [Homo sapiens]",58,32,115,28,644,66,305.34,32,2.467,59183171.12,146029547.3,,,
1,NP_001340275.1,ENO1,alpha-enolase isoform 3 [Homo sapiens],62,20,56,20,434,47.3,147.51,20,13.393,10846406.39,145269779.6,,,
2,NP_001104026.1,FLNA,filamin-A isoform 2 [Homo sapiens],15,22,39,22,2647,280.6,89.67,22,3.16,43146313.72,136321989.5,,,
3,NP_006112.3,KRT1,"keratin, type II cytoskeletal 1 [Homo sapiens]",37,20,70,19,644,66,162.47,20,0.211,633325838.3,133572586,,,
3,NP_001276675.1,GAPDH,glyceraldehyde-3-phosphate dehydrogenase isoform 1 [Homo sapiens],20,4,9,4,335,36,19.36,4,4.327,29098939.64,125922754.8,,,
2,NP_002147.2,HSPD1,"60 kDa heat shock protein, mitochondrial [Homo sapiens]",32,11,33,11,573,61,71.7,11,2.752,42310875.68,116428987,,,
3,NP_001340275.1,ENO1,alpha-enolase isoform 3 [Homo sapiens],35,9,15,9,434,47.3,30.95,9,3.506,32984084.5,115646023.8,,,
1,XP_005257400.1,KRT10,"PREDICTED: keratin, type I cytoskeletal 10 isoform X1 [Homo sapiens]",46,23,100,19,624,63.3,218.56,23,2.76,40207007.9,110966597.3,,,
1,NP_000217.2,KRT9,"keratin, type I cytoskeletal 9 [Homo sapiens]",57,18,53,18,623,62,171.27,18,3.72,29187669.68,108572568.5,,,
1,NP_001002858.1,ANXA2,annexin A2 isoform 1 [Homo sapiens],45,16,33,16,357,40.4,85.66,16,21.765,4797127.791,104410696.9,,,
1,NP_006588.1,HSPA8,heat shock cognate 71 kDa protein isoform 1 [Homo sapiens],47,23,55,20,646,70.9,132.87,23,19.511,5208102.23,101616500.1,,,
2,NP_001393.1,EEF1A1,elongation factor 1-alpha 1 [Homo sapiens],21,4,6,4,462,50.1,15.24,4,3.916,25433795,99593579.5,,,
1,NP_003502.1,H2AC16,histone H2A type 1 [Homo sapiens],30,3,11,3,130,14.1,29.72,3,12.913,7493341.063,96758986,,,
2,NP_001002858.1,ANXA2,annexin A2 isoform 1 [Homo sapiens],39,11,19,11,357,40.4,47.77,11,2.754,33719586.16,92872938.25,,,
1,NP_001393.1,EEF1A1,elongation factor 1-alpha 1 [Homo sapiens],35,9,42,5,462,50.1,108.36,9,14.844,6222178.43,92359447.41,,,
2,XP_016880250.1,PFN1,PREDICTED: profilin-1 isoform X1 [Homo sapiens],15,2,3,2,181,19.6,6.67,2,2.52,35377976.5,89159744,,,
2,NP_001340275.1,ENO1,alpha-enolase isoform 3 [Homo sapiens],31,8,16,8,434,47.3,37.15,8,2.783,30878147.59,85928074.81,,,
2,XP_011532356.1,TKT,PREDICTED: transketolase isoform X1 [Homo sapiens],18,6,23,6,631,68.8,44.78,6,2.881,29645519.84,85394593.75,,,
3,NP_001092.1,ACTB,"actin, cytoplasmic 1 [Homo sapiens]",15,4,14,4,375,41.7,35.31,4,3.046,26767497.25,81520847.5,,,
1,NP_002147.2,HSPD1,"60 kDa heat shock protein, mitochondrial [Homo sapiens]",34,12,57,12,573,61,129.57,12,17.61,4529401.492,79762625.41,,,
1,NP_001104026.1,FLNA,filamin-A isoform 2 [Homo sapiens],21,33,66,33,2647,280.6,179.18,33,16.941,4613410.186,78154225,,,
3,XP_006720633.1,PKM,PREDICTED: pyruvate kinase PKM isoform X1 [Homo sapiens],19,8,13,8,605,65.8,32.19,8,3.615,20132774.63,72780603.25,,,
1,NP_002565.1,PRDX1,peroxiredoxin-1 [Homo sapiens],43,7,13,7,199,22.1,32.83,7,12.749,5635628.109,71846357.5,,,
2,NP_001258898.1,HSP90AB1,heat shock protein HSP 90-beta isoform a [Homo sapiens],19,8,11,4,724,83.2,28.16,8,3.603,19826064.66,71440462.38,,,
1,NP_001258898.1,HSP90AB1,heat shock protein HSP 90-beta isoform a [Homo sapiens],37,19,48,11,724,83.2,132.12,19,17.676,4039159.063,71397111.38,,,
1,NP_005013.1,PFN1,profilin-1 [Homo sapiens],51,6,12,6,140,15,31.74,6,21.649,3202431.836,69329463.75,,,
1,XP_016882687.1,UBA52,PREDICTED: ubiquitin-60S ribosomal protein L40 isoform X1 [Homo sapiens],23,4,9,4,203,22.2,24.89,4,14.948,4358185.129,65144827.94,,,
1,NP_821133.1,TUBB,tubulin beta chain isoform b [Homo sapiens],60,21,60,4,444,49.6,147.05,21,16.104,3964859.906,63851138.88,,,
3,XP_005257400.1,KRT10,"PREDICTED: keratin, type I cytoskeletal 10 isoform X1 [Homo sapiens]",17,6,22,6,624,63.3,53.12,6,0.43,147867698.7,63580256.91,,,
2,NP_006588.1,HSPA8,heat shock cognate 71 kDa protein isoform 1 [Homo sapiens],19,8,10,7,646,70.9,23.52,8,4.23,14973224.7,63339998.31,,,
2,NP_000217.2,KRT9,"keratin, type I cytoskeletal 9 [Homo sapiens]",31,10,22,10,623,62,62.99,10,1.819,34311086.14,62399310.39,,,
2,NP_005338.1,HSPA5,78 kDa glucose-regulated protein precursor [Homo sapiens],21,10,15,9,654,72.3,32.44,10,3.127,19655132.44,61453678.75,,,
2,NP_000932.3,POR,NADPH--cytochrome P450 reductase [Homo sapiens],8,4,4,4,680,77,9.42,4,34.406,1758955,60519194,,,
2,XP_005251033.1,PLEC,PREDICTED: plectin isoform X3 [Homo sapiens],4,13,14,13,4689,532.1,31.28,13,3.643,16426973.97,59835685.19,,,
2,NP_114032.2,HNRNPU,heterogeneous nuclear ribonucleoprotein U isoform a [Homo sapiens],11,4,16,4,825,90.5,43.17,4,3.02,19443893.94,58713618,,,
3,NP_000217.2,KRT9,"keratin, type I cytoskeletal 9 [Homo sapiens]",51,15,50,15,623,62,144.61,15,0.13,450934559.4,58598091.73,,,
2,NP_001003.1,RPS8,40S ribosomal protein S8 [Homo sapiens],27,4,9,4,208,24.2,16.77,4,3.121,18433567.5,57526193,,,
1,NP_000932.3,POR,NADPH--cytochrome P450 reductase [Homo sapiens],27,13,31,13,680,77,78.78,13,100,536869.6797,55623198.5,,,
2,NP_001017963.2,HSP90AA1,heat shock protein HSP 90-alpha isoform 1 [Homo sapiens],12,7,8,3,854,98.1,18.07,7,3.892,14278776.13,55574593.5,,,
3,NP_001002858.1,ANXA2,annexin A2 isoform 1 [Homo sapiens],28,7,8,7,357,40.4,18.84,7,4.94,11214337.52,55394718.63,,,
1,NP_005338.1,HSPA5,78 kDa glucose-regulated protein precursor [Homo sapiens],33,16,33,14,654,72.3,94.09,16,19.968,2721999.172,54351707.28,,,
2,NP_000282.1,PGK1,phosphoglycerate kinase 1 [Homo sapiens],12,3,4,3,417,44.6,9.6,3,3.343,16214400.5,54202020,,,
1,XP_011532966.1,CANX,PREDICTED: calnexin isoform X2 [Homo sapiens],18,8,11,8,646,73.4,30.01,8,52.438,996762.5703,52267852.38,,,
2,NP_733821.1,LMNA,lamin isoform A [Homo sapiens],16,7,17,7,664,74.1,43.72,7,2.913,17800041.38,51859454.5,,,
1,NP_001230106.1,ALDOA,fructose-bisphosphate aldolase A isoform 2 [Homo sapiens],27,7,39,7,418,45.2,98.41,7,23.302,2224878.906,51844863,,,
1,NP_001171712.1,VDAC2,voltage-dependent anion-selective channel protein 2 isoform 1 [Homo sapiens],45,9,21,9,309,33.4,38.27,9,17.62,2922126.6,51488710.5,,,
2,NP_001230106.1,ALDOA,fructose-bisphosphate aldolase A isoform 2 [Homo sapiens],15,4,24,4,418,45.2,45.51,4,2.205,22410825.5,49407450.38,,,
1,NP_066953.1,PPIA,peptidyl-prolyl cis-trans isomerase A isoform 1 [Homo sapiens],45,6,29,6,165,18,67.59,6,11.484,4289867.063,49263493.94,,,
1,NP_001302466.1,LDHB,L-lactate dehydrogenase B chain isoform LDHBx [Homo sapiens],26,8,14,7,341,37.4,35.09,8,18.667,2602910.738,48587386.78,,,
2,NP_001952.1,EEF2,elongation factor 2 [Homo sapiens],12,6,12,6,858,95.3,30.01,6,3.543,13659310.69,48392078.75,,,
2,NP_002464.1,MYH9,myosin-9 [Homo sapiens],10,12,27,12,1960,226.4,49.23,12,7.163,6682162,47865034.06,,,
3,NP_001243211.1,KRT8,"keratin, type II cytoskeletal 8 isoform 1 [Homo sapiens]",18,7,9,7,511,56.6,22.12,7,10.792,4432534.891,47835375.56,,,
2,NP_000692.2,ATP1A1,sodium/potassium-transporting ATPase subunit alpha-1 isoform a [Homo sapiens],13,8,11,8,1023,112.8,22.23,8,13.901,3412851.266,47442896.13,,,
1,XP_005253288.1,CD44,PREDICTED: CD44 antigen isoform X1 [Homo sapiens],8,6,13,6,743,81.6,34.08,6,100,158076.2734,47232470.53,,,
1,XP_016880861.1,NPEPPS,PREDICTED: puromycin-sensitive aminopeptidase isoform X1 [Homo sapiens],4,3,3,3,924,104,7.69,3,4.714,9958632.871,46946832.44,,,
2,NP_002565.1,PRDX1,peroxiredoxin-1 [Homo sapiens],31,5,6,4,199,22.1,16.27,5,2.544,18392358,46793853.25,,,
2,NP_066953.1,PPIA,peptidyl-prolyl cis-trans isomerase A isoform 1 [Homo sapiens],31,3,15,3,165,18,29.3,3,1.605,28770931.38,46178778.25,,,
3,NP_000932.3,POR,NADPH--cytochrome P450 reductase [Homo sapiens],14,6,7,6,680,77,17.46,6,33.252,1344942.031,44722097,,,
1,NP_001243211.1,KRT8,"keratin, type II cytoskeletal 8 isoform 1 [Homo sapiens]",35,13,23,11,511,56.6,51.49,13,23.39,1907659.496,44620991.86,,,
3,NP_001104026.1,FLNA,filamin-A isoform 2 [Homo sapiens],11,16,27,16,2647,280.6,60.22,16,3.05,14620365.66,44588045.13,,,
1,NP_001952.1,EEF2,elongation factor 2 [Homo sapiens],27,16,34,16,858,95.3,93.09,16,15.857,2804657.078,44474549.44,,,
1,NP_114032.2,HNRNPU,heterogeneous nuclear ribonucleoprotein U isoform a [Homo sapiens],22,11,27,11,825,90.5,76.58,11,19.9,2234660.078,44469881.58,,,
2,NP_001012680.1,SLC3A2,4F2 cell-surface antigen heavy chain isoform b [Homo sapiens],8,4,8,4,631,68.1,17.1,4,7.027,6323569.988,44433018.58,,,
2,XP_006713522.1,SMC4,PREDICTED: structural maintenance of chromosomes protein 4 isoform X3 [Homo sapiens],2,2,2,2,1210,138.3,4.29,2,0.854,51999864,44432416,,,
1,NP_002464.1,MYH9,myosin-9 [Homo sapiens],24,35,69,35,1960,226.4,180.86,35,20.574,2122161.682,43660676.05,,,
