gene_name,protein_id,Protein.Description,LipidProbe,sample,logFC,AveExpr,pvalue,hit_annotation
RDH11,Q8TC12,Retinol dehydrogenase 11,PA,membrane,0.704686015,19.56687742,0.02951196,candidate
STX4,Q12846,Syntaxin-4,PA,membrane,0.814577255,18.70223548,0.029190941,candidate
VDAC2,P45880,Voltage-dependent anion-selective channel protein 2,PE,membrane,0.68510073,22.54852612,0.059148969,candidate
SCD,O00767,Stearoyl-CoA desaturase,PE,membrane,0.733033114,20.51205902,0.052747452,candidate
CKAP4,Q07065,Cytoskeleton-associated protein 4,PE,membrane,1.046191012,22.50010481,0.050187726,candidate
CD9,P21926,CD9 antigen,PE,membrane,0.70961929,21.39181596,0.048665576,candidate
ECH1,Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",PA,membrane,0.914069883,20.01295868,0.02853621,candidate
ERP29,P30040,Endoplasmic reticulum resident protein 29,PE,membrane,0.861834407,22.47308826,0.046341307,candidate
TMEM33,P57088,Transmembrane protein 33,PE,membrane,0.68481768,22.18914589,0.043704308,candidate
GLUD1,P00367,"Glutamate dehydrogenase 1, mitochondrial",PA,membrane,0.919663447,20.37539729,0.027961656,candidate
WDR1,O75083,WD repeat-containing protein 1,PE,membrane,0.73133461,20.03280854,0.043653365,candidate
ATP5F1B,P06576,"ATP synthase subunit beta, mitochondrial",PE,membrane,0.824686427,23.704151,0.040680372,candidate
PPIF,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PA,membrane,0.82515646,20.32682237,0.027720838,candidate
NNT,Q13423,"NAD(P) transhydrogenase, mitochondrial",PE,membrane,0.669897192,17.50107296,0.039975068,candidate
SLC25A24,Q6NUK1,Calcium-binding mitochondrial carrier protein SCaMC-1,PE,membrane,0.97477642900000006,20.65730826,0.02062703,candidate
CYB5R3,P00387,NADH-cytochrome b5 reductase 3,PE,membrane,0.649340569,22.55077761,0.020245587,candidate
FDFT1,P37268,Squalene synthase,PE,membrane,0.592121523,20.97080569,0.074650349,candidate
SLC25A3,Q00325,"Phosphate carrier protein, mitochondrial",PA,membrane,0.756081027,23.54654185,0.027387618,candidate
STEAP4,Q687X5,Metalloreductase STEAP4,PA,membrane,0.594157674,21.13782805,0.027133902,candidate
RDX,P35241,Radixin,PE,membrane,1.00525607,22.77986462,0.03388006,candidate
ECHS1,P30084,"Enoyl-CoA hydratase, mitochondrial",PE,membrane,1.118492307,22.64441547,0.033100285,candidate
MDH2,P40926,"Malate dehydrogenase, mitochondrial",PA,membrane,0.676314864,22.39469081,0.027049331,candidate
TRAP1,Q12931,"Heat shock protein 75 kDa, mitochondrial",PA,membrane,0.80123228,20.54970353,0.026555105,candidate
CS,O75390,"Citrate synthase, mitochondrial",PA,membrane,0.845272896,19.95319981,0.025214852,candidate
ATP5F1A,P25705,"ATP synthase subunit alpha, mitochondrial",PA,membrane,0.820982669,23.6922543,0.025066988,candidate
CD9,P21926,CD9 antigen,PA,membrane,0.823790502,21.39181596,0.024433459,candidate
FAS,P25445,Tumor necrosis factor receptor superfamily member 6,PE,membrane,0.848933839,19.4058056,0.033097568,candidate
NPM1,P06748,Nucleophosmin,PA,membrane,0.619615309,23.4320719,0.024067514,candidate
SCCPDH,Q8NBX0,Saccharopine dehydrogenase-like oxidoreductase,PA,membrane,0.651484694,18.73698275,0.02328053,candidate
PRKCSH,P14314,Glucosidase 2 subunit beta,PA,membrane,0.590789309,23.66876665,0.022789075,candidate
GPX8,Q8TED1,Probable glutathione peroxidase 8,PE,membrane,0.827284238,19.2618463,0.031987019,candidate
NPR1,P16066,Atrial natriuretic peptide receptor 1,PE,membrane,0.668547759,17.10375482,0.031735679,candidate
SLC25A11,Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein,PA,membrane,0.714619917,17.57678401,0.022772446,candidate
SUCLG2,Q96I99,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",PE,membrane,1.010338535,19.33303854,0.030846503,candidate
DLD,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",PE,membrane,1.068026597,21.9948431,0.030444699,candidate
IQGAP1,P46940,Ras GTPase-activating-like protein IQGAP1,PE,membrane,1.067266303,23.6439439,0.029437235,candidate
MTCH2,Q9Y6C9,Mitochondrial carrier homolog 2,PE,membrane,0.700934302,19.22558045,0.028103726,candidate
RPN2,P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,PA,membrane,0.632614634,21.95535998,0.022510232,candidate
COQ9,O75208,"Ubiquinone biosynthesis protein COQ9, mitochondrial",PE,membrane,0.722996555,19.55592816,0.027246903,candidate
TMX2,Q9Y320,Thioredoxin-related transmembrane protein 2,PE,membrane,0.792894044,21.78177836,0.02703749,candidate
METTL7A,Q9H8H3,Putative methyltransferase-like protein 7A,PE,membrane,0.625870548,19.20528588,0.026442818,candidate
ECI1,P42126,"Enoyl-CoA delta isomerase 1, mitochondrial",PE,membrane,1.0216941,20.65775419,0.026366628,candidate
RHOC,P08134,Rho-related GTP-binding protein RhoC,PE,membrane,0.668643891,16.61220432,0.026364548,candidate
SEC63,Q9UGP8,Translocation protein SEC63 homolog,PA,membrane,0.806277752,19.0789413,0.020927325,candidate
ATP5PD,O75947,"ATP synthase subunit d, mitochondrial",PE,membrane,1.009244937,20.38986318,0.026324161,candidate
CD44,P16070,CD44 antigen,PE,membrane,0.689800858,24.26944201,0.025626198,candidate
RPN1,P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,PE,membrane,1.030445792,22.84923866,0.024969861,candidate
PHB2,Q99623,Prohibitin-2,PE,membrane,1.299025442,22.35070351,0.023774964,candidate
LRRC59,Q96AG4,Leucine-rich repeat-containing protein 59,PA,membrane,0.655657265,21.53055737,0.042511953,candidate
DPM1,O60762,Dolichol-phosphate mannosyltransferase subunit 1,PE,membrane,0.768410089,18.83884158,0.023019937,candidate
MGST1,P10620,Microsomal glutathione S-transferase 1,PE,membrane,0.851456183,21.43340999,0.022597281,candidate
SSBP1,Q04837,"Single-stranded DNA-binding protein, mitochondrial",PA,membrane,0.955186676,18.84172621,0.010876428,candidate
PPA2,Q9H2U2,"Inorganic pyrophosphatase 2, mitochondrial",PE,membrane,0.615090811,17.35825034,0.035707134,candidate
SHMT2,P34897,"Serine hydroxymethyltransferase, mitochondrial",PA,membrane,0.746894372,19.69566979,0.040830277,candidate
TPM4,P67936,Tropomyosin alpha-4 chain,PE,membrane,0.591108339,20.58704091,0.083552749,candidate
DNAJB11,Q9UBS4,DnaJ homolog subfamily B member 11,PE,membrane,0.883667739,19.2515392,0.079323196,candidate
GNAI2,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2,PA,membrane,0.814372628,21.20886622,0.002987459,candidate
ATP1A1,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,PE,membrane,0.62545417699999994,25.53469749,0.019578901,candidate
PRDX3,P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",PE,membrane,1.429885052,21.95756559,0.017793319,candidate
ACO2,Q99798,"Aconitate hydratase, mitochondrial",PE,membrane,0.96589079,20.13385828,0.017580262,candidate
NDUFA4,O00483,Cytochrome c oxidase subunit NDUFA4,PA,membrane,1.012739789,19.36633726,0.003308567,candidate
HSPA5,P11021,Endoplasmic reticulum chaperone BiP,PE,membrane,0.966663762,26.11231537,0.016437074,candidate
CYC1,P08574,"Cytochrome c1, heme protein, mitochondrial",PE,membrane,0.871527481,18.89709524,0.016410925,candidate
ACSL3,O95573,Fatty acid CoA ligase Acsl3,PE,membrane,1.002479899,20.73962676,0.016335869,candidate
PON2,Q15165,Serum paraoxonase/arylesterase 2,PA,membrane,0.650440118,18.75073349,0.003644064,candidate
RALB,P11234,Ras-related protein Ral-B,PA,membrane,0.613889346,19.80889367,0.00371878,candidate
RALA,P11233,Ras-related protein Ral-A,PA,membrane,0.805115465,22.30226981,0.003790709,candidate
ECI2,O75521,Enoyl-CoA delta isomerase 2,PE,membrane,0.950060758,20.20966323,0.016308168,candidate
RAB13,P51153,Ras-related protein Rab-13,PE,membrane,0.818385361,21.6262584,0.016244872,candidate
HSD17B10,Q99714,3-hydroxyacyl-CoA dehydrogenase type-2,PE,membrane,0.648591238,21.20980756,0.015024329,candidate
RUSF1,Q96GQ5,RUS family member 1,PE,membrane,0.617703348,18.26101249,0.014685394,candidate
SLC25A6,P12236,ADP/ATP translocase 3,PA,membrane,0.99595301,20.50797732,0.004107347,candidate
NCLN,Q969V3,Nicalin,PA,membrane,0.870811065,16.61514508,0.00414413,candidate
RAB35,Q15286,Ras-related protein Rab-35,PE,membrane,0.757892768,22.22297918,0.014523014,candidate
SEC63,Q9UGP8,Translocation protein SEC63 homolog,PE,membrane,0.868267046,19.0789413,0.013862179,candidate
CD55,P08174,Complement decay-accelerating factor,PA,membrane,0.634250637,23.84802786,0.004214198,candidate
JUP,P14923,Junction plakoglobin,PA,membrane,0.724652395,22.80662439,0.004225073,candidate
UQCRC1,P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",PE,membrane,0.850174992,21.08820209,0.013354581,candidate
ETFA,P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial",PE,membrane,0.995857595,20.58729454,0.013299698,candidate
CANX,P27824,Calnexin,PA,membrane,0.73064941,25.23591437,0.004516046,candidate
SLC25A22,Q9H936,Mitochondrial glutamate carrier 1,PA,membrane,0.638598038,17.96429672,0.004603273,candidate
GNA11,P29992,Guanine nucleotide-binding protein subunit alpha-11,PA,membrane,0.593693727,21.90866517,0.004631885,candidate
DDOST,P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,PE,membrane,0.637729668,23.03866095,0.013177124,candidate
AGPS,O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",PE,membrane,0.609403437,19.14539833,0.012260831,candidate
STT3A,P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,PE,membrane,0.647056299,21.20104152,0.012019209,candidate
ATP2A2,P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,PE,membrane,0.800136072,23.25806782,0.01176013,candidate
RAB34,Q9BZG1,Ras-related protein Rab-34,PE,membrane,0.639446895,19.87555721,0.011398595,candidate
ALDH3A2,P51648,Aldehyde dehydrogenase family 3 member A2,PE,membrane,0.740562655,19.28337854,0.011290749,candidate
PDHB,P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PA,membrane,0.96141754,19.07848591,0.009962099,candidate
OXCT1,P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",PA,membrane,0.626569375,21.7605609,0.009755765,candidate
GNAS,Q5JWF2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,PA,membrane,0.631697379,23.11018255,0.009802636,candidate
GNAQ,P50148,Guanine nucleotide-binding protein G(q) subunit alpha,PE,membrane,0.608926237,19.47984835,0.010134905,candidate
SFXN1,Q9H9B4,Sideroflexin-1,PE,membrane,1.072900012,20.69938028,0.009705805,candidate
DECR2,Q9NUI1,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]",PE,membrane,0.781860655,16.29040184,0.009639078,candidate
RMDN1,Q96DB5,Regulator of microtubule dynamics protein 1,PE,membrane,0.708007542,19.23078238,0.009588593,candidate
EFNB1,P98172,Ephrin-B1,PA,membrane,0.714657383,17.76371385,0.005957625,candidate
CISD2,Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,PA,membrane,1.02499332,21.96880273,0.006026811,candidate
RDX,P35241,Radixin,PA,membrane,0.947030775,22.77986462,0.044251505,candidate
CRTAP,O75718,Cartilage-associated protein,PA,membrane,0.665574084,19.48037538,0.006162992,candidate
GNAI3,P08754,Guanine nucleotide-binding protein G(i) subunit alpha-3,PA,membrane,0.618778982,23.357584,0.01885562,candidate
NOMO1,Q15155,Nodal modulator 1,PA,membrane,0.742475842,21.25579301,0.006426076,candidate
RAB34,Q9BZG1,Ras-related protein Rab-34,PA,membrane,0.588732377,19.87555721,0.018358542,candidate
PPIB,P23284,Peptidyl-prolyl cis-trans isomerase B,PA,membrane,0.744612562,24.85003382,0.006603049,candidate
CRELD2,Q6UXH1,Protein disulfide isomerase CRELD2,PA,membrane,0.595632512,18.66198806,0.018115048,candidate
DECR2,Q9NUI1,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]",PA,membrane,0.702639284,16.29040184,0.018064711,candidate
TRMT10C,Q7L0Y3,tRNA methyltransferase 10 homolog C,PA,membrane,0.660070102,18.76206443,0.016734663,candidate
TOR1AIP1,Q5JTV8,Torsin-1A-interacting protein 1,PA,membrane,0.926643735,19.25526855,0.016182204,candidate
FH,P07954,"Fumarate hydratase, mitochondrial",PA,membrane,0.801636408,21.18584942,0.015643225,candidate
HSPA9,P38646,"Stress-70 protein, mitochondrial",PA,membrane,1.063634965,24.36163996,0.015553062,candidate
COX4I1,P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",PA,membrane,0.727666951,21.48128348,0.014914175,candidate
FAS,P25445,Tumor necrosis factor receptor superfamily member 6,PA,membrane,0.995034041,19.4058056,0.014447448,candidate
CLPTM1L,Q96KA5,Lipid scramblase CLPTM1L,PA,membrane,0.810843444,18.50454928,0.013498478,candidate
AIFM1,O95831,"Apoptosis-inducing factor 1, mitochondrial",PA,membrane,0.914034627,18.98813274,0.007092342,candidate
GSTK1,Q9Y2Q3,Glutathione S-transferase kappa 1,PA,membrane,0.616053651,20.794324369999998,0.008310655,candidate
BASP1,P80723,Brain acid soluble protein 1,PA,membrane,1.645317376,23.41103032,0.008664325,candidate
ATP5PB,P24539,"ATP synthase F(0) complex subunit B1, mitochondrial",PA,membrane,0.635526731,20.96036489,0.020555623,candidate
STX4,Q12846,Syntaxin-4,PE,membrane,0.865092505,18.70223548,0.0215306,candidate
ACAA2,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",PA,membrane,0.715828653,18.57848581,0.010670155,candidate
SLC25A5,P05141,ADP/ATP translocase 2,PA,membrane,1.161540993,23.60863597,0.007330911,candidate
PYCR1,P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial",PA,membrane,0.936345849,18.30974353,0.007356484,candidate
ATP5PO,P48047,"ATP synthase subunit O, mitochondrial",PA,membrane,0.757600906,20.52672254,0.009388119,candidate
ETFB,P38117,Electron transfer flavoprotein subunit beta,PA,membrane,0.832750741,20.9392935,0.007851596,candidate
HADH,Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",PA,membrane,0.710929707,18.26883404,0.007897372,candidate
ATP5F1E,P56381,"ATP synthase subunit epsilon, mitochondrial",PA,membrane,0.74089716,19.67912705,0.009632151,candidate
RAB13,P51153,Ras-related protein Rab-13,PA,membrane,0.920070704,21.6262584,0.007987679,candidate
RDH11,Q8TC12,Retinol dehydrogenase 11,PE,membrane,0.841896415,19.56687742,0.011182536,candidate
STEAP4,Q687X5,Metalloreductase STEAP4,PE,membrane,0.700663055,21.13782805,0.010904459,candidate
ABCG2,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2,PE,membrane,0.960098686,21.19702126,0.021581678,candidate
ECH1,Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",PE,membrane,1.215272299,20.01295868,0.005312273,enriched hit
HIBADH,P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",PE,membrane,1.166368952,17.31081027,0.005026956,enriched hit
GSTK1,Q9Y2Q3,Glutathione S-transferase kappa 1,PE,membrane,0.629331853,20.794324369999998,0.007228035,enriched hit
FAM162A,Q96A26,Protein FAM162A,PE,membrane,0.885328838,19.27324673,0.007072244,enriched hit
RHOF,Q9HBH0,Rho-related GTP-binding protein RhoF,PE,membrane,0.619036561,19.07603145,0.006854562,enriched hit
DLAT,P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",PE,membrane,0.959572413,18.31192523,0.006440699,enriched hit
SSR4,P51571,Translocon-associated protein subunit delta,PE,membrane,0.745384722,22.55833495,0.006360398,enriched hit
CS,O75390,"Citrate synthase, mitochondrial",PE,membrane,1.068195389,19.95319981,0.006348156,enriched hit
OCIAD1,Q9NX40,OCIA domain-containing protein 1,PE,membrane,0.620413923,18.89468688,0.006316238,enriched hit
ACADVL,P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",PE,membrane,0.697819168,18.19372032,0.005712297,enriched hit
HPDL,Q96IR7,4-hydroxyphenylpyruvate dioxygenase-like protein,PE,membrane,0.752622205,18.40419526,0.005670222,enriched hit
AXL,P30530,Tyrosine-protein kinase receptor UFO,PE,membrane,0.630582439,19.19549153,0.005594587,enriched hit
HSP90B1,P14625,Endoplasmin,PE,membrane,1.114109619,24.46919624,0.00501615,enriched hit
ROBO1,Q9Y6N7,Roundabout homolog 1,PE,membrane,0.618505091,20.76104703,0.004863829,enriched hit
GOT2,P00505,"Aspartate aminotransferase, mitochondrial",PE,membrane,1.170960918,22.51987098,0.004810594,enriched hit
SSR1,P43307,Translocon-associated protein subunit alpha,PE,membrane,1.106499061,19.46858834,0.004714091,enriched hit
TAPBP,O15533,Tapasin,PE,membrane,0.822040722,19.39962263,0.00467816,enriched hit
GLUD1,P00367,"Glutamate dehydrogenase 1, mitochondrial",PE,membrane,1.252937952,20.37539729,0.00433567,enriched hit
LRRC59,Q96AG4,Leucine-rich repeat-containing protein 59,PE,membrane,0.987020597,21.53055737,0.004051715,enriched hit
HSPD1,P10809,"60 kDa heat shock protein, mitochondrial",PE,membrane,1.6515312,25.0427557,0.003967465,enriched hit
RALB,P11234,Ras-related protein Ral-B,PE,membrane,0.610127226,19.80889367,0.0038913,enriched hit
RAP1A,P62834,Ras-related protein Rap-1A,PE,membrane,0.667369569,19.55483643,0.003720939,enriched hit
GNAS,Q5JWF2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,PE,membrane,0.730799736,23.11018255,0.003618746,enriched hit
GNAI1,P63096,Guanine nucleotide-binding protein G(i) subunit alpha-1,PE,membrane,0.608217729,21.5239396,0.003601471,enriched hit
VDAC3,Q9Y277,Voltage-dependent anion-selective channel protein 3,PE,membrane,0.697619632,19.39272586,0.003427118,enriched hit
MLEC,Q14165,Malectin,PE,membrane,0.634103018,21.12812674,0.003153919,enriched hit
SCCPDH,Q8NBX0,Saccharopine dehydrogenase-like oxidoreductase,PE,membrane,0.895154183,18.73698275,0.003108491,enriched hit
MDH2,P40926,"Malate dehydrogenase, mitochondrial",PE,membrane,0.975006304,22.39469081,0.002698985,enriched hit
TRAP1,Q12931,"Heat shock protein 75 kDa, mitochondrial",PE,membrane,1.161700296,20.54970353,0.002507954,enriched hit
TMEM214,Q6NUQ4,Transmembrane protein 214,PE,membrane,1.033192258,19.45141302,0.002457574,enriched hit
BASP1,P80723,Brain acid soluble protein 1,PE,membrane,1.967630255,23.41103032,0.002418226,enriched hit
LYPD3,O95274,Ly6/PLAUR domain-containing protein 3,PE,membrane,0.621724825,20.85147601,0.002379377,enriched hit
RPN2,P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,PE,membrane,0.897595632,21.95535998,0.00230304,enriched hit
PPIF,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PE,membrane,1.224137218,20.32682237,0.002240674,enriched hit
TOR1AIP1,Q5JTV8,Torsin-1A-interacting protein 1,PE,membrane,1.249982452,19.25526855,0.00211963,enriched hit
GNA11,P29992,Guanine nucleotide-binding protein subunit alpha-11,PE,membrane,0.658426496,21.90866517,0.002112633,enriched hit
TRMT10C,Q7L0Y3,tRNA methyltransferase 10 homolog C,PE,membrane,0.898328625,18.76206443,0.002070979,enriched hit
PLOD2,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PE,membrane,0.658480068,20.05299757,0.002014337,enriched hit
SLIRP,Q9GZT3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",PE,membrane,1.377969332,19.92272683,0.00192553,enriched hit
DPAGT1,Q9H3H5,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,PE,membrane,0.71893012,19.88671387,0.001907959,enriched hit
HADHB,P55084,"Trifunctional enzyme subunit beta, mitochondrial",PE,membrane,1.03100329,18.54311175,0.007732666,enriched hit
ACOX1,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,PE,membrane,0.792357316,19.59506369,0.001834011,enriched hit
POR,P16435,NADPH--cytochrome P450 reductase,PE,membrane,1.062099234,23.58262631,0.001746701,enriched hit
ATP5F1C,P36542,"ATP synthase subunit gamma, mitochondrial",PE,membrane,1.401009095,20.41805594,0.001663005,enriched hit
SDHB,P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",PE,membrane,1.057779033,19.95135406,0.001598226,enriched hit
JUP,P14923,Junction plakoglobin,PE,membrane,0.665911714,22.80662439,0.007578872,enriched hit
NSDHL,Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",PE,membrane,0.736134719,21.73326973,0.007688387,enriched hit
ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",PE,membrane,1.173128835,21.0377508,0.00154057,enriched hit
COX4I1,P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",PE,membrane,1.009343843,21.48128348,0.001498626,enriched hit
RAB32,Q13637,Ras-related protein Rab-32,PE,membrane,0.595487497,18.52945532,0.001445923,enriched hit
CLPTM1L,Q96KA5,Lipid scramblase CLPTM1L,PE,membrane,1.117479134,18.50454928,0.001368778,enriched hit
ACTC1,P68032,"Actin, alpha cardiac muscle 1",PE,membrane,0.776107291,21.82210314,0.001305185,enriched hit
ACADM,P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",PE,membrane,0.852654628,19.45417321,0.001300365,enriched hit
SDHA,P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",PE,membrane,1.027223345,21.06973098,0.00124547,enriched hit
CPS1,P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",PA,membrane,0.817005614,23.39989519,0.002309086,enriched hit
SLC26A6,Q9BXS9,Solute carrier family 26 member 6,PE,membrane,0.695559867,19.33184128,0.001242405,enriched hit
MRPL12,P52815,"39S ribosomal protein L12, mitochondrial",PE,membrane,0.831025928,18.71092266,0.007784016,enriched hit
ALG5,Q9Y673,Dolichyl-phosphate beta-glucosyltransferase,PE,membrane,0.735533791,19.43024524,0.007802057,enriched hit
HADHA,P40939,"Trifunctional enzyme subunit alpha, mitochondrial",PE,membrane,0.827516272,19.57503092,0.00123109,enriched hit
WDR5,P61964,WD repeat-containing protein 5,PE,membrane,0.653589695,18.53383403,0.001224511,enriched hit
TMCO1,Q9UM00,Calcium load-activated calcium channel,PE,membrane,1.243166547,20.20846888,0.008063652,enriched hit
SHMT2,P34897,"Serine hydroxymethyltransferase, mitochondrial",PE,membrane,1.304188796,19.69566979,0.001153035,enriched hit
SRPRB,Q9Y5M8,Signal recognition particle receptor subunit beta,PE,membrane,1.15361709,21.67277202,0.001123178,enriched hit
SLC25A3,Q00325,"Phosphate carrier protein, mitochondrial",PE,membrane,1.216982648,23.54654185,0.001113225,enriched hit
INPP5A,Q14642,Inositol polyphosphate-5-phosphatase A,PE,membrane,0.601398653,18.97274026,0.001109993,enriched hit
NIBAN1,Q9BZQ8,Protein Niban 1,PE,membrane,0.745523885,18.51850392,0.001049752,enriched hit
TCOF1,Q13428,Treacle protein,PE,membrane,0.734920979,17.69548229,0.001031487,enriched hit
CD55,P08174,Complement decay-accelerating factor,PE,membrane,0.756760459,23.84802786,0.001023894,enriched hit
PHB1,P35232,Prohibitin 1,PE,membrane,1.109149259,21.80531573,0.008111162,enriched hit
ACAA2,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",PE,membrane,0.987117589,18.57848581,9.7044e-4,enriched hit
GNB2,P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,PE,membrane,0.745549468,20.46608196,0.008251726,enriched hit
LRPPRC,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",PE,membrane,0.946680554,21.89348662,0.0089995,enriched hit
CANX,P27824,Calnexin,PE,membrane,0.890552796,25.23591437,9.23194e-4,enriched hit
TXNDC5,Q8NBS9,Thioredoxin domain-containing protein 5,PE,membrane,0.644307949,22.31475574,9.19284e-4,enriched hit
GNAI2,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2,PE,membrane,0.695155324,21.20886622,0.009038101,enriched hit
NIBAN2,Q96TA1,Protein Niban 2,PE,membrane,0.964077915,21.22975702,9.1126e-4,enriched hit
PRSS21,Q9Y6M0,Testisin,PE,membrane,0.720224395,20.3781156,8.58019e-4,enriched hit
