Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score MSPepSearch: MSPepSearch,# Peptides (by Search Engine): MSPepSearch,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (Penta) / (Control),Abundance Ratio (log2): (Penta) / (Control),Abundance Ratio Adj. P-Value: (Penta) / (Control),Abundance Ratio Variability [%]: (Penta) / (Control),Abundances (Grouped): Control,Abundances (Grouped): Penta,Abundances (Grouped) CV [%]: Control,Abundances (Grouped) CV [%]: Penta,"Found in Sample: [S1] F1: Sample, Control, 1","Found in Sample: [S2] F2: Sample, Control, 2","Found in Sample: [S3] F3: Sample, Control, 3","Found in Sample: [S4] F4: Sample, Penta, 1","Found in Sample: [S5] F5: Sample, Penta, 2","Found in Sample: [S6] F6: Sample, Penta, 3",# Protein Groups,Modifications
TRUE,High,Master Protein,BAG37094.1,unnamed protein product [OS=Homo sapiens],0.002,2.629,1,1,1,1,879,100.7,6.93,202,1,0,0,14.159,3.82,4.92986E-05,145.57,6450.978249,91339.17309,169.56,7.79,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
TRUE,Medium,Master Protein,AAI07781.1,"LLP homolog, long-term synaptic facilitation (Aplysia) [OS=Homo sapiens]",0.028,1.267,12,1,1,1,129,15.1,10.43,158,1,0,0,13.966,3.8,5.61774E-08,41.33,58464.12438,816525.37,54.09,49.46,Not Found,Not Found,Not Found,High,Peak Found,Peak Found,1,
TRUE,High,Master Protein,NP_055277.1,U6 snRNA-associated Sm-like protein LSm1 [OS=Homo sapiens],0,7.574,17,2,5,2,133,15.2,5.22,1178,2,0,0,12.382,3.63,1.56239E-07,139.03,186138.9761,691384.079,95.54,28.31,High,Not Found,High,High,Peak Found,Peak Found,1,
TRUE,Medium,Master Protein,BAF83957.1,unnamed protein product [OS=Homo sapiens],0.015,1.607,3,1,1,1,418,47,9.14,165,1,0,0,11.705,3.55,1.63352E-06,134.5,56969.33787,666801.7654,141.85,107.73,Peak Found,Not Found,Not Found,Peak Found,High,Peak Found,1,
TRUE,High,Master Protein,NP_001155973.1,Trinucleotide repeat-containing gene 6B protein isoform 1 [OS=Homo sapiens],0.006,2.097,1,1,2,1,1833,193.9,6.76,255,1,0,0,10.576,3.4,2.01321E-05,136.76,45685.38263,534583.79,39.33,82.4,Not Found,Not Found,Not Found,Not Found,High,High,1,
TRUE,High,Master Protein,EAX06335.1,"latrophilin 2, isoform CRA_o [OS=Homo sapiens]",0,3.993,2,2,2,2,1474,165,6.34,364,2,0,0,10.518,3.39,0.000100307,35.52,18397.12955,190978.5098,32.68,16.56,Not Found,High,Not Found,High,Peak Found,Peak Found,1,
TRUE,High,Master Protein,AAB61703.1,"interferon-induced leucine zipper protein, partial [OS=Homo sapiens]",0.001,3.167,4,1,2,1,299,32.7,6.8,511,1,0,0,10.152,3.34,4.78593E-06,20.01,72315.63456,698000.875,32.88,11.34,Not Found,Not Found,Not Found,Peak Found,High,High,1,
TRUE,High,Master Protein,NP_001002010.1,cytosolic 5'-nucleotidase 3A isoform 1 [OS=Homo sapiens],0,4.02,4,1,1,1,336,37.9,7.12,223,1,0,0,9.505,3.25,4.92986E-05,139.41,43339.90577,540736.0027,63.07,85.11,Not Found,Not Found,Not Found,Not Found,High,Peak Found,1,
TRUE,High,Master Protein,NP_002422.1,CDK-activating kinase assembly factor MAT1 isoform 1 [OS=Homo sapiens],0,5.025,7,1,1,1,309,35.8,6.09,402,1,0,0,8.82,3.14,0.002607143,135.52,8015.059433,70696.64612,69.94,150.33,Peak Found,Peak Found,Peak Found,Peak Found,High,Not Found,1,
TRUE,High,Master Protein,XP_005256351.1,PREDICTED: Fanconi anemia group A protein isoform X1 [OS=Homo sapiens],0.001,3.358,1,1,1,1,1463,163.3,6.68,174,1,0,0,8.617,3.11,1.79201E-05,104.2,78456.84008,783254.6625,32.84,79.46,Peak Found,Not Found,Not Found,Not Found,High,Peak Found,1,
TRUE,High,Master Protein,EAL23958.1,tweety homolog 3 (Drosophila) [OS=Homo sapiens],0,3.853,1,1,1,1,951,102.5,7.24,251,1,0,0,8.438,3.08,0.000136966,95.95,60917.67049,587748.3892,90.62,33.36,Not Found,Peak Found,Not Found,Peak Found,High,Peak Found,1,
TRUE,High,Master Protein,AAH14164.2,tetratricopeptide repeat domain 15 [OS=Homo sapiens],0.003,2.555,3,1,1,1,735,79.3,4.91,119,1,0,0,8.32,3.06,0.00092686,140.2,50492.9052,84657.834,82.16,155.7,Not Found,Not Found,Not Found,Not Found,High,Not Found,1,
TRUE,High,Master Protein,AAI36606.1,NEDD4 protein [OS=Homo sapiens],0,4.141,1,1,1,1,1319,149,6.54,282,1,0,0,8.155,3.03,0.000171096,128.65,40547.69365,547478.27,42.34,78.69,Not Found,Not Found,Not Found,Not Found,High,Peak Found,1,
TRUE,High,Master Protein,CAC21644.1,"hypothetical protein, partial [OS=Homo sapiens]",0,3.978,2,1,2,1,674,75.4,6.33,551,1,0,0,8.038,3.01,0.000696706,54.35,33096.63812,266015.0625,65.72,30.76,Not Found,Not Found,Not Found,Peak Found,High,High,1,
TRUE,High,Master Protein,CAA48637.1,glutathione S-transferase [OS=Homo sapiens],0,57.128,36,6,53,1,218,25.5,6.14,24830,6,0,0,7.011,2.81,1.64288E-10,124.49,328421.5673,2302478.223,130.37,18.94,Peak Found,Peak Found,High,Peak Found,High,High,1,
TRUE,High,Master Protein,Q5MIZ7.2,RecName: Full=Serine/threonine-protein phosphatase 4 regulatory subunit 3B; AltName: Full=SMEK homolog 2 [OS=Homo sapiens],0,4.921,1,1,4,1,849,97.4,4.96,1563,1,0,0,6.641,2.73,0.000930038,15.58,84441.41181,560777.7017,7.91,82.66,Not Found,High,Not Found,High,High,High,1,
TRUE,High,Master Protein,EAL24141.1,similar to ribosomal protein S27 [OS=Homo sapiens],0,5.365,9,1,1,1,148,16.9,9.55,398,1,0,0,6.332,2.66,0.00212821,143.47,52284.72841,375199.1875,168.55,87.19,High,Not Found,Not Found,Peak Found,Peak Found,Not Found,1,
TRUE,High,Master Protein,AAC05826.1,lung cancer antigen NY-LU-12 variant A [OS=Homo sapiens],0,5.311,3,2,2,2,1123,128.6,6.32,423,2,0,0,6.312,2.66,0.001692363,102.43,63630.27289,461511.9566,132.31,30.8,Not Found,Not Found,High,Peak Found,High,Peak Found,1,
TRUE,High,Master Protein,AAD04632.1,TJ6 [OS=Homo sapiens],0,6.237,4,2,2,2,856,98.1,6.61,422,2,0,0,6.181,2.63,2.45614E-08,125.66,491908.6096,1632145.735,67.24,45.29,Peak Found,Peak Found,Peak Found,Peak Found,High,High,1,
TRUE,High,Master Protein,CAA73697.1,FB19 protein [OS=Homo sapiens],0.001,2.809,2,1,2,1,940,99,9.09,416,1,0,0,6.129,2.62,0.002041625,110.9,77573.89167,475424.241,123.84,18.88,Not Found,Peak Found,Not Found,High,Peak Found,High,1,
TRUE,High,Master Protein,NP_006221.2,DNA polymerase delta subunit 2 isoform 2 [OS=Homo sapiens],0,12.358,6,2,3,2,504,54.7,5.95,889,2,0,0,6.027,2.59,9.78091E-09,111.59,1659143.065,906287.9933,75.71,62.01,Peak Found,High,Not Found,Peak Found,High,Peak Found,1,
TRUE,High,Master Protein,EAW74760.1,"Fas (TNFRSF6)-associated via death domain, isoform CRA_a [OS=Homo sapiens]",0,5.653,12,1,1,1,209,23.4,5.95,268,1,0,0,6.015,2.59,0.005424505,29.22,29463.20552,177221.7031,39.17,13.72,Not Found,Not Found,Not Found,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,NP_003012.1,Small glutamine-rich tetratricopeptide repeat-containing protein alpha [OS=Homo sapiens],0.002,2.698,4,1,1,1,313,34,4.87,170,1,0,0,5.891,2.56,0.006228747,137.93,28220.06143,169875.8224,63.63,104.64,Not Found,Not Found,Not Found,Not Found,High,Peak Found,1,
TRUE,High,Master Protein,NP_001010867.1,"putative transferase CAF17, mitochondrial isoform 1 precursor [OS=Homo sapiens]",0.007,1.928,9,1,1,1,356,38.1,9.83,143,1,0,0,5.874,2.55,0.018967266,98.52,10883.68907,63928.86067,88.16,23.53,Not Found,Not Found,Not Found,High,Peak Found,Peak Found,1,
TRUE,Medium,Master Protein,NP_001164100.1,chromodomain-helicase-DNA-binding protein 8 isoform 1 [OS=Homo sapiens],0.012,1.694,1,1,1,1,2581,290.3,6.47,150,1,0,0,5.721,2.52,0.013331013,88.64,14183.80403,93964.20255,112.64,77.9,Not Found,Not Found,Not Found,Not Found,Not Found,High,1,
FALSE,Medium,Master Protein,XP_011513026.1,"PREDICTED: 28S ribosomal protein S10, mitochondrial isoform X1 [OS=Homo sapiens]",0.035,1.185,6,1,1,1,211,24,8.24,179,1,0,0,5.245,2.39,0.031189048,144.52,11953.84951,62703.91322,166.89,26.67,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
FALSE,High,Master Protein,Q14118.2,RecName: Full=Dystroglycan; AltName: Full=Dystrophin-associated glycoprotein 1; Contains: RecName: Full=Alpha-dystroglycan; Short=Alpha-DG; Contains: RecName: Full=Beta-dystroglycan; Short=Beta-DG; Flags: Precursor [OS=Homo sapiens],0,5.246,1,1,1,1,895,97.4,8.56,406,1,0,0,4.87,2.28,0.012167695,46.49,67028.59611,289357.1909,43.94,25.67,Not Found,Not Found,Not Found,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,XP_016859298.1,PREDICTED: zinc finger protein 638 isoform X1 [OS=Homo sapiens],0,8.329,1,2,7,2,2084,231.4,6.46,3780,2,0,0,4.833,2.27,0.001144002,124.06,191774.2192,864633.3183,41.49,27.78,Peak Found,High,High,High,High,High,1,
FALSE,Medium,Master Protein,NP_004724.1,Acetyl-coenzyme A transporter 1 [OS=Homo sapiens],0.017,1.473,1,1,3,1,549,60.9,7.33,699,1,0,0,4.799,2.26,0.008968664,95.75,103996.9731,499107.7969,110.16,15.88,Not Found,High,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_008841.2,E3 ubiquitin-protein ligase RBBP6 isoform 1 [OS=Homo sapiens],0,4.452,3,2,2,2,1792,201.4,9.64,320,2,0,0,4.702,2.23,1.87216E-05,128.85,430530.3539,1503728.56,71.99,75.03,High,Peak Found,Not Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,BAG38035.1,unnamed protein product [OS=Homo sapiens],0.007,1.939,5,1,1,1,465,52.6,7.39,204,1,0,0,4.699,2.23,0.031569257,111.39,53607.5114,65991.16175,75.89,128.17,Not Found,Not Found,Not Found,Not Found,High,Not Found,1,
FALSE,High,Master Protein,BAD93048.1,"epsilon isoform of regulatory subunit B56, protein phosphatase 2A variant, partial [OS=Homo sapiens]",0,3.983,3,1,2,1,501,57.9,8.24,446,1,0,0,4.609,2.2,0.001439857,120.14,250800.6165,1155878.5,130.22,25.01,Not Found,High,High,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_001077362.1,striatin-3 isoform 1 [OS=Homo sapiens],0.001,2.798,2,1,2,1,797,87.2,5.36,396,1,0,0,4.29,2.1,0.033829932,114.3,82072.8741,96291.73195,74.41,88.24,Not Found,Not Found,Not Found,High,Not Found,High,1,
FALSE,High,Master Protein,AAH01108.1,PIH1 domain containing 1 [OS=Homo sapiens],0.004,2.285,3,1,1,1,290,32.4,5.07,181,1,0,0,4.212,2.07,0.022861811,101.91,90971.90733,461641.8284,124.31,29.68,Peak Found,Not Found,Not Found,High,Peak Found,Peak Found,1,
FALSE,Medium,Master Protein,NP_116249.2,protein LTV1 homolog isoform 1 [OS=Homo sapiens],0.027,1.284,4,1,2,1,475,54.8,4.91,186,1,0,0,4.202,2.07,0.004298921,141.36,448456.8665,641420.1955,80.64,140.21,Not Found,High,Peak Found,Not Found,High,Peak Found,1,
FALSE,Medium,Master Protein,BAD96599.1,"COP9 constitutive photomorphogenic homolog subunit 7B variant, partial [OS=Homo sapiens]",0.01,1.756,5,1,1,1,264,29.5,6.68,147,1,0,0,4.135,2.05,0.025529222,64.15,80211.64806,331669.7379,89.97,10.47,Not Found,Peak Found,Not Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_001308943.1,mismatch repair endonuclease PMS2 isoform i [OS=Homo sapiens],0.002,2.761,2,1,2,1,873,97,6.8,429,1,0,0,4.109,2.04,0.013287326,115.6,144299.1912,592993.8493,124.09,71.05,Peak Found,Not Found,High,Not Found,High,Peak Found,1,
FALSE,High,Master Protein,XP_005256486.1,PREDICTED: chromodomain-helicase-DNA-binding protein 3 isoform X7 [OS=Homo sapiens],0,26.57,3,6,17,1,2060,233,6.23,6729,6,0,0,4.078,2.03,0.003783152,122.71,292606.8108,1193180.974,125.31,18.83,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,BAG61736.1,unnamed protein product [OS=Homo sapiens],0.002,2.613,1,1,1,1,933,106,5.94,165,1,0,0,4.057,2.02,0.063190573,136.63,24116.16788,97832.33051,150.48,35.62,High,Not Found,Not Found,Not Found,Not Found,Peak Found,1,
FALSE,High,Master Protein,XP_011531009.1,PREDICTED: proteasome activator complex subunit 4 isoform X3 [OS=Homo sapiens],0,9.358,3,3,4,3,1847,211.6,6.9,1022,3,0,0,3.982,1.99,0.005302924,106.58,95230.3739,1119095.264,84.2,73.29,Peak Found,Not Found,Not Found,Peak Found,High,High,1,
FALSE,High,Master Protein,EAW83762.1,"carboxypeptidase A1 (pancreatic), isoform CRA_a [OS=Homo sapiens]",0.001,2.774,3,1,6,1,420,47.2,5.64,1754,1,0,0,3.907,1.97,2.26284E-05,126.09,544146.2856,2125895.158,135.77,5.47,Not Found,High,Peak Found,High,High,High,1,
FALSE,High,Master Protein,O14936.3,RecName: Full=Peripheral plasma membrane protein CASK; Short=hCASK; AltName: Full=Calcium/calmodulin-dependent serine protein kinase; AltName: Full=Protein lin-2 homolog [OS=Homo sapiens],0.001,3.019,1,1,1,1,926,105.1,6.43,324,1,0,0,3.895,1.96,0.090171404,141.79,21848.64966,85091.99291,159.41,6.73,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
FALSE,High,Master Protein,NP_001268862.1,condensin-2 complex subunit G2 isoform b [OS=Homo sapiens],0,7.84,3,2,2,2,1156,132.1,6.77,616,2,0,0,3.881,1.96,0.028216052,108.22,90227.38484,528141.6321,119.99,36.12,Not Found,Not Found,High,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,BAB14238.1,unnamed protein product [OS=Homo sapiens],0,12.942,3,1,11,1,547,61.5,9.26,5493,1,0,0,3.845,1.94,2.89258E-06,103,692617.6023,2662868.662,115.43,32.46,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,EAW94499.1,"CUE domain containing 1, isoform CRA_b [OS=Homo sapiens]",0.001,3.182,4,1,1,1,444,48.5,5.97,250,1,0,0,3.787,1.92,0.008912893,72.53,235280.2542,891059.8769,72.56,40.22,Peak Found,Peak Found,Not Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_055946.1,WD repeat-containing protein 43 [OS=Homo sapiens],0,6.629,2,1,1,1,677,74.8,5.57,624,1,0,0,3.773,1.92,0.03427376,120.94,107459.1618,405454.1947,133.3,36.48,Not Found,Peak Found,Peak Found,Peak Found,High,Peak Found,1,
FALSE,Medium,Master Protein,P04114.2,RecName: Full=Apolipoprotein B-100; Short=Apo B-100; Contains: RecName: Full=Apolipoprotein B-48; Short=Apo B-48; Flags: Precursor [OS=Homo sapiens],0.016,1.511,0,1,1,1,4563,515.3,7.05,132,1,0,0,3.755,1.91,0.099891724,87.07,22302.51229,83746.71258,100.94,48.51,Peak Found,Peak Found,Peak Found,Not Found,Not Found,High,1,
FALSE,Medium,Master Protein,XP_006713470.1,"PREDICTED: membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 isoform X1 [OS=Homo sapiens]",0.015,1.598,1,1,1,1,1493,164.7,7.5,130,1,0,0,3.746,1.91,0.055537583,127,65755.95365,246299.9471,17.94,95.6,Not Found,Not Found,Not Found,Not Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_001303903.1,protein LZIC isoform b [OS=Homo sapiens],0,12.845,14,2,14,2,211,23.9,5.11,4709,2,0,0,3.742,1.9,1.49328E-06,123.77,1968408.476,3566634.293,64.59,40.71,High,High,High,High,High,Peak Found,1,
FALSE,High,Master Protein,AAP35590.1,dihydropyrimidinase-like 2 [OS=Homo sapiens],0,98.78,28,9,70,1,619,67,6,39628,9,0,0,3.692,1.88,0.055537583,71.57,70756.74963,261254.3551,105.57,67.89,Not Found,Not Found,Peak Found,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,AAX82177.1,"Actin-like protein, partial [OS=Homo sapiens]",0,37.065,75,5,47,1,103,11.5,7.58,22826,5,0,0,3.686,1.88,0.102186651,77.54,22440.6981,82709.14583,80.07,32.17,High,Peak Found,Peak Found,Not Found,Not Found,High,1,
FALSE,High,Master Protein,EAW76695.1,"transformation/transcription domain-associated protein, isoform CRA_c [OS=Homo sapiens]",0,3.917,1,2,2,2,3921,443.5,8.41,237,2,0,0,3.655,1.87,1.76498E-05,241.51,2209910.357,2636343.395,90.09,11.88,Not Found,Peak Found,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,EAW90578.1,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2, isoform CRA_a [OS=Homo sapiens]",0.007,1.931,7,1,1,1,513,57,6.96,114,1,0,0,3.585,1.84,0.06582113,80.78,63041.54725,225987.2344,79.92,39.31,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,AAG33698.1,P2ECSL [OS=Homo sapiens],0.003,2.512,11,1,1,1,210,24.3,5.91,153,1,0,0,3.483,1.8,0.056119336,120.1,81133.56418,474071.9202,128.21,107.56,Not Found,Peak Found,Not Found,Peak Found,High,Peak Found,1,
FALSE,Medium,Master Protein,Q92673.2,RecName: Full=Sortilin-related receptor; AltName: Full=Low-density lipoprotein receptor relative with 11 ligand-binding repeats; Short=LDLR relative with 11 ligand-binding repeats; Short=LR11; AltName: Full=SorLA-1; AltName: Full=Sorting protein-related receptor containing LDLR class A repeats; Short=SorLA; Flags: Precursor [OS=Homo sapiens],0.017,1.484,1,1,1,1,2214,248.3,5.55,150,1,0,0,3.458,1.79,0.085748079,144.3,189311.9019,45475.58798,106.56,168.25,Peak Found,Not Found,Peak Found,High,Not Found,Not Found,1,
FALSE,High,Master Protein,NP_963906.1,inhibitor of nuclear factor kappa-B kinase-interacting protein isoform 2 [OS=Homo sapiens],0,20.706,17,4,7,3,350,39.3,9.17,2915,4,0,0,3.454,1.79,0.049859621,145.2,169036.2815,496442.5496,152.86,87.22,High,Peak Found,High,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,CAB45715.1,Hypothetical protein [OS=Homo sapiens],0,4.303,2,1,1,1,712,82.4,7.71,332,1,0,0,3.383,1.76,0.066956543,33.33,90996.03731,341670.9856,67.01,13.02,Peak Found,Peak Found,Not Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_001070667.1,splicing regulatory glutamine/lysine-rich protein 1 isoform a [OS=Homo sapiens],0,15.734,7,2,7,2,624,71.6,10.2,2059,2,0,0,3.368,1.75,4.92986E-05,143.09,1055812.196,2373452.513,53.07,78.97,Peak Found,Peak Found,High,Peak Found,High,High,1,
FALSE,High,Master Protein,AAH07979.1,Serine hydroxymethyltransferase 1 (soluble) [OS=Homo sapiens],0,18.018,13,5,9,4,483,53.1,7.71,1898,5,0,0,3.348,1.74,0.005345649,133.91,1118431.12,556184.7489,77.42,148.05,High,High,Not Found,High,Peak Found,Peak Found,1,
FALSE,Medium,Master Protein,NP_001248370.1,exostosin-like 2 isoform 3 [OS=Homo sapiens],0.029,1.253,6,1,1,1,338,38.3,9.06,115,1,0,0,3.312,1.73,0.075959038,126.64,88113.8035,291807.3438,138.98,45.73,Not Found,High,Not Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,Q9NUL3.1,RecName: Full=Double-stranded RNA-binding protein Staufen homolog 2 [OS=Homo sapiens],0,3.696,3,1,1,1,570,62.6,9.61,385,1,0,0,3.308,1.73,0.12106372,48.09,37874.72733,125304.8855,52.37,28.66,Not Found,Not Found,Not Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,EAW82339.1,"acyl-Coenzyme A oxidase 3, pristanoyl, isoform CRA_a [OS=Homo sapiens]",0,7.101,2,1,2,1,731,81.2,7.24,1259,1,0,0,3.303,1.72,0.076814909,65.87,90634.54518,371593.2806,91.78,22.78,Not Found,Peak Found,Peak Found,Peak Found,High,High,1,
FALSE,High,Master Protein,ACX50615.1,prostate cancer upregulated protein 1 [OS=Homo sapiens],0.003,2.519,2,1,1,1,487,54,9.25,158,1,0,0,3.28,1.71,0.065312131,146.12,30898.34769,622667.129,164.61,78.53,Not Found,Not Found,High,Not Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAH08361.1,F-box protein 7 [OS=Homo sapiens],0,4.766,4,1,2,1,522,58.4,6.55,845,1,0,0,3.275,1.71,0.120663916,105.48,41356.64584,135446.4531,102.31,22.72,Not Found,High,Not Found,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,AAH37270.1,AKAP8 protein [OS=Homo sapiens],0,4.021,3,1,1,1,692,76.1,5.12,526,1,0,0,3.23,1.69,0.176110463,25.31,18253.45624,67524.74378,47.5,45.64,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,NP_001129224.1,protein ecdysoneless homolog isoform 2 [OS=Homo sapiens],0,6.087,3,1,3,1,677,76.5,4.86,1635,1,0,0,3.211,1.68,0.066638877,100.46,162254.841,521072.0536,112.53,17.15,Peak Found,Peak Found,High,Peak Found,High,High,1,
FALSE,High,Master Protein,AAA58446.1,Ubiquitin carrier protein [OS=Homo sapiens],0,8.391,24,3,7,3,225,24.2,8.68,2869,3,0,0,3.21,1.68,0.103389385,123.18,106047.3505,209589.8692,25.89,7.15,High,High,High,High,High,High,1,
FALSE,High,Master Protein,ALQ34055.1,"transducin -like 2 isoform 1, partial [OS=Homo sapiens]",0,10.563,6,2,2,2,446,49.6,9.39,811,2,0,0,3.167,1.66,0.154637629,145.17,29445.7104,93246.29456,165.63,16.51,High,Not Found,Not Found,Not Found,Peak Found,Not Found,1,
FALSE,High,Master Protein,NP_001308288.1,nuclear receptor-binding protein isoform 2 [OS=Homo sapiens],0,18.029,13,4,8,4,543,60.8,5.16,2999,4,0,0,3.139,1.65,0.000157159,102.79,1263630.412,2941858.594,67.51,22.84,Peak Found,High,Peak Found,High,High,High,1,
FALSE,High,Master Protein,EAW85610.1,"hydroxyacylglutathione hydrolase, isoform CRA_b [OS=Homo sapiens]",0,9.157,10,2,3,2,317,34.6,8.28,1073,2,0,0,3.111,1.64,0.001643949,111.76,777017.3756,1482187.313,50.65,23.04,High,Peak Found,Peak Found,High,Peak Found,High,1,
FALSE,High,Master Protein,BAG63626.1,unnamed protein product [OS=Homo sapiens],0,7.428,9,1,1,1,287,30.8,11.31,578,1,0,0,3.103,1.63,0.193845364,110,13733.53163,55200.31291,107.72,53.24,Not Found,Not Found,Peak Found,Not Found,Peak Found,High,1,
FALSE,High,Master Protein,NP_073613.2,Oxysterol-binding protein-related protein 11 [OS=Homo sapiens],0,8.862,3,2,3,1,747,83.6,7.06,1217,2,0,1,3.067,1.62,0.013361311,125.89,720544.6847,892532.1977,80.4,10.2,Not Found,Not Found,Not Found,Peak Found,Peak Found,High,1,
