gene_name,Accession,pvalue,logFC,adj_p_value,LipidProbe,hit_annotation,AveExpr
KRT10,XP_005257400.1,0.8119760248954048,-0.2878342498519809,0.8119760248954048,PDAA,no hit,8.28826206621988
KRT16,NP_005548.2,0.7011583047849475,-0.5282060488046125,0.7011583047849475,PDAA,no hit,6.157530632583535
KRT17,NP_000413.1,0.34168873111928844,3.2283365771133754,0.34168873111928844,PDAA,no hit,6.703200300148069
KRT2,NP_000414.2,0.6855284012840975,0.3388480321110066,0.6855284012840975,PDAA,no hit,7.300909032804613
KRT6A,NP_005545.1,0.4654415311746394,-1.0106790606405456,0.4654415311746394,PDAA,no hit,6.529376782494187
KRT7,NP_005547.3,0.03149764535473533,2.9416924098828994,0.03149764535473533,PDAA,enriched hit,7.175694169576419
KRT8,NP_001243211.1,0.026056691522158743,3.462542880133876,0.026056691522158743,PDAA,enriched hit,7.300679379541828
KRT9,NP_000217.2,0.5366355462715694,-1.1640501364624034,0.5366355462715694,PDAA,no hit,8.093423603198564
LDHA,NP_001158886.1,0.282706855630067,3.5938191266457853,0.282706855630067,PDAA,no hit,7.508481828031709
LMNA,NP_733821.1,0.1087274926675051,2.2555618125180152,0.1087274926675051,PDAA,no hit,7.3170072522573815
MCCC1,NP_064551.3,0.9450439793029722,0.04623143141484522,0.9450439793029722,PDAA,no hit,6.2123721722756
MSN,XP_011529261.1,0.005707006129488195,2.4446792727463,0.005707006129488195,PDAA,enriched hit,6.29941776381553
MYH9,NP_002464.1,0.005957975016796289,3.237382818601594,0.005957975016796289,PDAA,enriched hit,7.338310508725772
NCL,NP_005372.2,0.1428304568643815,2.218184891181195,0.1428304568643815,PDAA,no hit,6.918593489610466
NUP155,NP_705618.1,0.0040369761159123425,2.5553813316087224,0.0040369761159123425,PDAA,enriched hit,6.292120265625137
P4HB,NP_000909.2,0.002517255300535857,2.3650389664012432,0.002517255300535857,PDAA,enriched hit,6.776407829801654
PC,XP_016873358.1,0.8822402895937207,0.2379763246720095,0.8822402895937207,PDAA,no hit,7.124137647518253
PGK1,NP_000282.1,0.1650383036787318,2.159646405547045,0.1650383036787318,PDAA,no hit,7.270126199000812
PHGDH,XP_011539528.1,0.05788437987414968,1.9696959356114425,0.05788437987414968,PDAA,no hit,6.979826715365548
PKM,XP_006720633.1,0.10249777731250578,2.3754446327028185,0.10249777731250578,PDAA,no hit,8.136475687980157
PLEC,XP_005251033.1,0.10240849919681223,2.512196169137462,0.10240849919681223,PDAA,no hit,7.345837587935147
PLS3,NP_005023.2,0.004782281538973401,2.8694320964752253,0.004782281538973401,PDAA,enriched hit,6.375559394940309
POR,NP_000932.3,3.628460408332608e-4,5.4654597788486114,3.628460408332608e-4,PDAA,enriched hit,7.438028528539636
PPIB,NP_000933.1,0.09865740370986935,2.3075039506703128,0.09865740370986935,PDAA,no hit,6.38341040684716
RPL19,NP_000972.1,0.8694525696429309,0.16761284873654414,0.8694525696429309,PDAA,no hit,7.307876023927746
SLC3A2,NP_001012680.1,0.13366111466568567,3.4728219380894236,0.13366111466568567,PDAA,no hit,7.196364952787023
TFRC,NP_001121620.1,0.1896204370476608,3.1042969117107226,0.1896204370476608,PDAA,no hit,6.728555668149227
TKT,XP_011532356.1,0.15038366314057164,1.705958915408815,0.15038366314057164,PDAA,no hit,7.513290522131382
TNPO1,NP_002261.3,0.0695705213555908,1.933028638702801,0.0695705213555908,PDAA,no hit,6.434602208210238
TPI1,NP_001152759.1,0.09576461774920861,1.8734541529439896,0.09576461774920861,PDAA,no hit,7.276119950523619
TUBB,NP_821133.1,0.15764356496879,2.7189728445978325,0.15764356496879,PDAA,no hit,7.281133895773546
VDAC1,XP_005272132.1,0.03262482831678501,1.5601344970600919,0.03262482831678501,PDAA,enriched hit,7.351124986458408
VIM,NP_003371.2,0.0953239783027543,2.2326898868865728,0.0953239783027543,PDAA,no hit,7.860348882463535
YBX1,NP_004550.2,0.6047223714697585,-0.8648922536165305,0.6047223714697585,PDAA,no hit,6.650677173836135
