Description,PSM_Sph1,PSM_Sph2,PSM_FA1,PSM_FA2,PSM_DAG1,PSM_DAG2
Isoform 2 of Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens GN=PAM - [AMD_HUMAN],1,1,0,0,0,0
Carboxypeptidase D OS=Homo sapiens GN=CPD PE=1 SV=2 - [CBPD_HUMAN],1,3,0,0,0,0
D-glucuronyl C5-epimerase OS=Homo sapiens GN=GLCE PE=4 SV=1 - [H0YNP1_HUMAN],1,1,0,0,0,0
Isoform 5 of Polycystin-2 OS=Homo sapiens GN=PKD2 - [PKD2_HUMAN],1,1,0,0,0,0
Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1 PE=1 SV=3 - [CO5A1_HUMAN],1,1,0,0,0,0
Isoform 3 of Tax1-binding protein 1 OS=Homo sapiens GN=TAX1BP1 - [TAXB1_HUMAN],1,1,0,0,0,0
Protocadherin Fat 1 OS=Homo sapiens GN=FAT1 PE=1 SV=2 - [FAT1_HUMAN],2,1,0,0,0,0
Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=4 SV=1 - [H3BS10_HUMAN],3,6,0,1,0,0
NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=2 SV=1 - [B4DLR8_HUMAN],1,2,0,1,0,0
ATP6V0A2 protein OS=Homo sapiens GN=ATP6V0A2 PE=2 SV=1 - [Q8TBM3_HUMAN],2,1,0,1,0,0
Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens GN=M6PR PE=1 SV=1 - [MPRD_HUMAN],8,8,0,0,0,1
Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1 - [S10A9_HUMAN],2,6,0,0,0,1
Ras-related protein Rab-31 OS=Homo sapiens GN=RAB31 PE=1 SV=1 - [RAB31_HUMAN],1,4,0,0,0,1
Heme-binding protein 1 OS=Homo sapiens GN=HEBP1 PE=1 SV=1 - [HEBP1_HUMAN],2,4,0,0,0,1
Isoform 4 of Clusterin OS=Homo sapiens GN=CLU - [CLUS_HUMAN],4,4,0,1,0,1
Lysosomal Pro-X carboxypeptidase OS=Homo sapiens GN=PRCP PE=1 SV=1 - [PCP_HUMAN],5,4,0,1,0,1
Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens GN=TMED2 PE=3 SV=1 - [F5GX39_HUMAN],7,7,0,0,0,2
Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1 - [S10A8_HUMAN],2,3,0,0,0,1
Ceramide synthase 2 (Fragment) OS=Homo sapiens GN=LASS2 PE=2 SV=1 - [Q5SZE1_HUMAN],7,3,0,1,0,1
Beta-hexosaminidase subunit beta OS=Homo sapiens GN=HEXB PE=1 SV=3 - [HEXB_HUMAN],2,3,0,1,0,1
Monoacylglycerol lipase ABHD6 OS=Homo sapiens GN=ABHD6 PE=4 SV=1 - [F5H7L1_HUMAN],2,2,0,0,0,1
Protein C1orf27 OS=Homo sapiens GN=C1orf27 PE=4 SV=1 - [E9PFR7_HUMAN],3,2,0,0,0,1
Collagen alpha-1(III) chain OS=Homo sapiens GN=COL3A1 PE=1 SV=4 - [CO3A1_HUMAN],1,2,0,0,0,1
40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1 - [RS10_HUMAN],1,2,0,1,0,1
Podocalyxin OS=Homo sapiens GN=PODXL PE=4 SV=1 - [F5H3W1_HUMAN],1,5,0,2,0,4
Transporter (Fragment) OS=Homo sapiens GN=SLC6A6 PE=3 SV=1 - [C9JPV1_HUMAN],2,1,0,0,0,1
AP-1 complex subunit sigma-1A OS=Homo sapiens GN=AP1S1 PE=1 SV=1 - [AP1S1_HUMAN],1,1,0,0,0,1
Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=3 SV=1 - [H3BQB8_HUMAN],1,2,0,0,0,2
LMBR1 domain-containing protein 2 OS=Homo sapiens GN=LMBRD2 PE=2 SV=1 - [B4DTZ7_HUMAN],6,1,0,0,0,1
"28S ribosomal protein S7, mitochondrial OS=Homo sapiens GN=MRPS7 PE=1 SV=2 - [RT07_HUMAN]",1,1,0,0,0,1
Isoform 2 of Golgi membrane protein 1 OS=Homo sapiens GN=GOLM1 - [GOLM1_HUMAN],1,1,0,0,0,1
Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=2 SV=1 - [B4DJP7_HUMAN],1,1,0,0,0,1
Ras-related protein Rab-24 OS=Homo sapiens GN=RAB24 PE=4 SV=1 - [F8W8H5_HUMAN],1,1,0,0,0,1
Putative phospholipase B-like 2 OS=Homo sapiens GN=PLBD2 PE=1 SV=2 - [PLBL2_HUMAN],1,1,0,0,0,1
Secernin-1 OS=Homo sapiens GN=SCRN1 PE=2 SV=1 - [B4DH22_HUMAN],1,1,0,0,0,1
Cleavage stimulation factor subunit 3 OS=Homo sapiens GN=CSTF3 PE=4 SV=1 - [F5H0G6_HUMAN],1,1,0,0,0,1
Isoform 3 of Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 - [CTBL1_HUMAN],1,1,0,0,0,1
"Processed beta-1,4-galactosyltransferase 1 OS=Homo sapiens GN=B4GALT1 PE=4 SV=1 - [F5H0P7_HUMAN]",1,1,0,0,0,1
Nucleosome assembly protein 1-like 4 (Fragment) OS=Homo sapiens GN=NAP1L4 PE=3 SV=1 - [C9J6D1_HUMAN],5,3,0,1,0,3
Proteolipid protein 2 OS=Homo sapiens GN=PLP2 PE=1 SV=1 - [PLP2_HUMAN],1,2,0,1,0,2
UPF0640 protein C3orf78 OS=Homo sapiens GN=C3orf78 PE=2 SV=2 - [CC078_HUMAN],1,1,0,1,0,1
ER lumen protein retaining receptor 1 OS=Homo sapiens GN=KDELR1 PE=1 SV=1 - [ERD21_HUMAN],4,1,0,1,0,1
"Solute carrier family 39 (Zinc transporter), member 1 (Fragment) OS=Homo sapiens GN=SLC39A1 PE=2 SV=1 - [Q5T4K2_HUMAN]",1,1,0,1,0,1
Transmembrane emp24 domain-containing protein 1 OS=Homo sapiens GN=TMED1 PE=1 SV=1 - [TMED1_HUMAN],1,2,0,0,0,3
Peroxiredoxin-4 (Fragment) OS=Homo sapiens GN=PRDX4 PE=4 SV=1 - [H7C3T4_HUMAN],1,2,0,2,0,3
NADH-cytochrome b5 reductase 1 (Fragment) OS=Homo sapiens GN=CYB5R1 PE=4 SV=1 - [H7C0R7_HUMAN],1,1,0,0,0,2
Small nuclear ribonucleoprotein F OS=Homo sapiens GN=SNRPF PE=1 SV=1 - [RUXF_HUMAN],1,1,0,1,0,2
Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3 - [ALDR_HUMAN],1,1,0,0,0,3
Ras-related protein Rab-8B (Fragment) OS=Homo sapiens GN=RAB8B PE=3 SV=1 - [H0YNE9_HUMAN],1,1,0,3,0,4
"6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=3 SV=1 - [F5H7U0_HUMAN]",1,1,0,2,0,6
B-cell receptor-associated protein 29 (Fragment) OS=Homo sapiens GN=BCAP29 PE=4 SV=1 - [C9JTE9_HUMAN],4,1,1,0,0,0
Tumor suppressor candidate 3 OS=Homo sapiens GN=TUSC3 PE=4 SV=1 - [D6RDV0_HUMAN],2,2,1,1,0,1
Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1 - [YKT6_HUMAN],2,3,1,1,0,2
ADP-dependent glucokinase OS=Homo sapiens GN=ADPGK PE=4 SV=2 - [E7EQY8_HUMAN],2,2,1,1,0,2
Histone H3 OS=Homo sapiens GN=H3F3A PE=2 SV=1 - [B4DEB1_HUMAN],3,1,2,0,0,1
Protein spinster homolog 1 (Fragment) OS=Homo sapiens GN=SPNS1 PE=4 SV=1 - [H3BT44_HUMAN],1,1,1,0,0,1
Retinol dehydrogenase 13 OS=Homo sapiens GN=RDH13 PE=1 SV=2 - [RDH13_HUMAN],1,1,1,0,0,1
Isoform 3 of Presenilin-1 OS=Homo sapiens GN=PSEN1 - [PSN1_HUMAN],1,1,1,0,0,1
Lipid phosphate phosphohydrolase 2 OS=Homo sapiens GN=PPAP2C PE=1 SV=1 - [LPP2_HUMAN],1,1,1,1,0,1
"HCG27698, isoform CRA_c OS=Homo sapiens GN=DDX47 PE=3 SV=1 - [G5E955_HUMAN]",1,1,1,1,0,2
Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2 - [TMED9_HUMAN],1,1,2,1,0,1
Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens GN=HNRPLL PE=4 SV=1 - [B7WPG3_HUMAN],1,1,2,1,0,2
E3 ubiquitin-protein ligase BRE1A OS=Homo sapiens GN=RNF20 PE=1 SV=2 - [BRE1A_HUMAN],7,5,18,6,0,3
Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens GN=FKBP10 PE=1 SV=1 - [FKB10_HUMAN],3,1,8,6,0,2
"Keratin, type I cytoskeletal 23 OS=Homo sapiens GN=KRT23 PE=1 SV=2 - [K1C23_HUMAN]",1,1,4,1,0,2
Uncharacterized protein OS=Homo sapiens PE=4 SV=1 - [I3L1M0_HUMAN],3,10,24,4,0,4
"Keratin, type I cuticular Ha3-I OS=Homo sapiens GN=KRT33A PE=2 SV=2 - [KT33A_HUMAN]",3,10,29,6,0,6
C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2 - [MRC2_HUMAN],9,12,0,0,1,1
C-X-C chemokine receptor type 4 OS=Homo sapiens GN=CXCR4 PE=1 SV=1 - [CXCR4_HUMAN],7,1,0,0,1,0
Proactivator polypeptide OS=Homo sapiens GN=PSAP PE=1 SV=2 - [SAP_HUMAN],7,8,0,1,1,2
Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2 - [HORN_HUMAN],7,1,2,0,1,1
Translocating chain-associated membrane protein 1 OS=Homo sapiens GN=TRAM1 PE=4 SV=1 - [G3XAN4_HUMAN],6,3,0,0,1,1
Golgi integral membrane protein 4 OS=Homo sapiens GN=GOLIM4 PE=1 SV=1 - [GOLI4_HUMAN],6,3,0,1,1,1
Radixin OS=Homo sapiens GN=RDX PE=1 SV=1 - [RADI_HUMAN],6,3,0,2,1,6
Isoform 2 of Coiled-coil domain-containing protein 47 OS=Homo sapiens GN=CCDC47 - [CCD47_HUMAN],12,6,3,1,2,3
Eukaryotic translation initiation factor 5 OS=Homo sapiens GN=EIF5 PE=1 SV=2 - [IF5_HUMAN],6,7,4,3,1,3
Endothelin-converting enzyme 1 OS=Homo sapiens GN=ECE1 PE=2 SV=1 - [B4DKB2_HUMAN],11,8,0,1,2,3
Leucyl-cystinyl aminopeptidase OS=Homo sapiens GN=LNPEP PE=1 SV=3 - [LCAP_HUMAN],11,10,2,0,2,0
Vacuole membrane protein 1 OS=Homo sapiens GN=VMP1 PE=4 SV=1 - [F5H2J3_HUMAN],5,1,0,0,1,0
UPF0420 protein C16orf58 OS=Homo sapiens GN=C16orf58 PE=4 SV=1 - [E7EP97_HUMAN],5,4,0,0,1,1
Putative peripheral benzodiazepine receptor-related protein (Fragment) OS=Homo sapiens GN=TSPO PE=4 SV=1 - [B1AH87_HUMAN],5,3,0,1,1,1
Sorting nexin-5 OS=Homo sapiens GN=SNX5 PE=1 SV=1 - [SNX5_HUMAN],5,2,0,0,1,1
Isoform 2 of CD97 antigen OS=Homo sapiens GN=CD97 - [CD97_HUMAN],5,1,0,0,1,1
60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2 - [RL27_HUMAN],5,2,0,1,1,2
Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens GN=NAP1L1 PE=3 SV=1 - [F8W020_HUMAN],5,0,0,0,1,1
Translocon-associated protein subunit alpha OS=Homo sapiens GN=SSR1 PE=4 SV=1 - [C9J3L8_HUMAN],5,7,1,1,1,3
SUN domain-containing protein 2 OS=Homo sapiens GN=SUN2 PE=1 SV=3 - [SUN2_HUMAN],14,7,1,0,3,1
Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens GN=LRP1 PE=1 SV=2 - [LRP1_HUMAN],18,9,1,0,4,0
Isoform 3 of Atlastin-2 OS=Homo sapiens GN=ATL2 - [ATLA2_HUMAN],4,1,0,0,1,0
Translocase of inner mitochondrial membrane domain-containing protein 1 OS=Homo sapiens GN=TIMMDC1 PE=1 SV=2 - [TIDC1_HUMAN],4,3,0,1,1,1
60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2 - [RL13A_HUMAN],4,1,0,1,1,1
Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens GN=BRIX1 PE=1 SV=2 - [BRX1_HUMAN],4,0,0,0,1,2
Transmembrane protein 168 OS=Homo sapiens GN=TMEM168 PE=1 SV=2 - [TM168_HUMAN],4,0,0,0,1,1
Protein sel-1 homolog 1 OS=Homo sapiens GN=SEL1L PE=1 SV=3 - [SE1L1_HUMAN],8,3,2,0,2,0
3-ketodihydrosphingosine reductase OS=Homo sapiens GN=KDSR PE=1 SV=1 - [KDSR_HUMAN],8,5,2,0,2,1
ERO1-like protein alpha OS=Homo sapiens GN=ERO1L PE=1 SV=2 - [ERO1A_HUMAN],4,4,1,2,1,2
Neurogenic locus notch homolog protein 2 OS=Homo sapiens GN=NOTCH2 PE=1 SV=3 - [NOTC2_HUMAN],4,1,1,0,1,1
Laminin subunit alpha-5 OS=Homo sapiens GN=LAMA5 PE=1 SV=8 - [LAMA5_HUMAN],4,1,1,1,1,1
Antigen peptide transporter 2 OS=Homo sapiens GN=TAP2 PE=1 SV=1 - [TAP2_HUMAN],4,0,1,1,1,2
Endonuclease domain-containing 1 protein OS=Homo sapiens GN=ENDOD1 PE=1 SV=2 - [ENDD1_HUMAN],4,4,2,1,1,1
Isoform 6 of 45 kDa calcium-binding protein OS=Homo sapiens GN=SDF4 - [CAB45_HUMAN],4,3,2,1,1,1
Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1 - [XPO1_HUMAN],4,4,3,5,1,12
Rho-associated protein kinase 2 OS=Homo sapiens GN=ROCK2 PE=1 SV=4 - [ROCK2_HUMAN],4,0,4,0,1,6
Isoform 4 of Cytospin-B OS=Homo sapiens GN=SPECC1 - [CYTSB_HUMAN],4,1,6,0,1,0
Isoform 3 of Transmembrane protein 87A OS=Homo sapiens GN=TMEM87A - [TM87A_HUMAN],7,3,1,0,2,1
DnaJ homolog subfamily C member 1 OS=Homo sapiens GN=DNAJC1 PE=1 SV=1 - [DNJC1_HUMAN],14,9,4,1,4,1
Isoform 9 of Cutaneous T-cell lymphoma-associated antigen 5 OS=Homo sapiens GN=CTAGE5 - [CTGE5_HUMAN],10,4,3,2,3,3
Emerin OS=Homo sapiens GN=EMD PE=1 SV=1 - [EMD_HUMAN],10,7,6,4,3,5
Secretory carrier-associated membrane protein 2 OS=Homo sapiens GN=SCAMP2 PE=1 SV=2 - [SCAM2_HUMAN],3,2,0,0,1,0
Ras-related protein Rab-10 OS=Homo sapiens GN=RAB10 PE=1 SV=1 - [RAB10_HUMAN],3,10,0,4,1,5
Interferon-induced transmembrane protein 2 (Fragment) OS=Homo sapiens GN=IFITM2 PE=4 SV=1 - [H7BYV1_HUMAN],3,4,0,2,1,2
Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1 - [RAB1B_HUMAN],6,5,0,4,2,3
Sodium-coupled neutral amino acid transporter 2 OS=Homo sapiens GN=SLC38A2 PE=1 SV=2 - [S38A2_HUMAN],3,1,0,0,1,1
DnaJ homolog subfamily C member 11 OS=Homo sapiens GN=DNAJC11 PE=2 SV=1 - [B4DGD5_HUMAN],3,1,0,0,1,1
Cohesin subunit SA-2 OS=Homo sapiens GN=STAG2 PE=4 SV=1 - [F8WAK8_HUMAN],3,1,0,0,1,1
Isoform B of Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 - [G3BP2_HUMAN],3,2,0,1,1,2
Isoform 2 of Mpv17-like protein 2 OS=Homo sapiens GN=MPV17L2 - [M17L2_HUMAN],3,1,0,1,1,1
Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2 - [PXDN_HUMAN],3,1,0,0,1,2
Isoform 2 of Destrin OS=Homo sapiens GN=DSTN - [DEST_HUMAN],3,3,0,3,1,6
Sphingomyelin phosphodiesterase 4 OS=Homo sapiens GN=SMPD4 PE=4 SV=1 - [G8JLC4_HUMAN],3,1,0,0,1,3
"Isoform 2 of ATP-binding cassette sub-family B member 6, mitochondrial OS=Homo sapiens GN=ABCB6 - [ABCB6_HUMAN]",3,0,0,0,1,1
Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens GN=P4HA1 PE=4 SV=1 - [C9JL12_HUMAN],3,1,1,1,1,0
Apolipoprotein B-48 OS=Homo sapiens GN=APOB PE=4 SV=1 - [F5H109_HUMAN],6,3,2,3,2,1
Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=4 SV=1 - [A8MV37_HUMAN],3,4,1,2,1,3
Transmembrane protein 109 OS=Homo sapiens GN=TMEM109 PE=4 SV=1 - [E7ETZ3_HUMAN],3,1,1,0,1,1
Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3 - [PSB5_HUMAN],3,3,1,5,1,5
E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens GN=TRIM25 PE=1 SV=2 - [TRI25_HUMAN],3,0,1,0,1,3
Isoform 2 of Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens GN=PUF60 - [PUF60_HUMAN],6,2,3,3,2,4
Serine incorporator 1 OS=Homo sapiens GN=SERINC1 PE=1 SV=1 - [SERC1_HUMAN],3,2,2,0,1,1
Isoform SRP55-3 of Serine/arginine-rich splicing factor 6 OS=Homo sapiens GN=SRSF6 - [SRSF6_HUMAN],3,1,6,0,1,2
Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=4 SV=1 - [E9PLK3_HUMAN],3,5,7,2,1,1
PRA1 family protein 3 OS=Homo sapiens GN=ARL6IP5 PE=1 SV=1 - [PRAF3_HUMAN],8,2,2,0,3,2
Sorting nexin-6 OS=Homo sapiens GN=SNX6 PE=1 SV=1 - [SNX6_HUMAN],5,2,0,0,2,1
Isoform 2 of Palmitoyl-protein thioesterase 1 OS=Homo sapiens GN=PPT1 - [PPT1_HUMAN],5,4,0,1,2,2
Isoform 4 of Cell cycle progression protein 1 OS=Homo sapiens GN=CCPG1 - [CCPG1_HUMAN],5,0,1,0,2,1
Isoform 4 of Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 - [COCA1_HUMAN],17,5,2,0,7,1
Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3 - [MPRI_HUMAN],48,21,7,0,20,3
Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=4 SV=1 - [G8JLA8_HUMAN],7,8,1,0,3,0
"Paraoxonase 2, isoform CRA_a OS=Homo sapiens GN=PON2 PE=4 SV=1 - [G3V1K3_HUMAN]",7,9,10,4,3,3
Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=1 SV=2 - [DIC_HUMAN],16,7,2,4,7,6
Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4 - [EZRI_HUMAN],9,2,9,1,4,3
Fatty aldehyde dehydrogenase OS=Homo sapiens GN=ALDH3A2 PE=1 SV=1 - [AL3A2_HUMAN],11,14,4,3,5,10
NADPH--cytochrome P450 reductase OS=Homo sapiens GN=POR PE=1 SV=2 - [NCPR_HUMAN],45,16,10,1,21,7
Isoform 3 of Basigin OS=Homo sapiens GN=BSG - [BASI_HUMAN],15,14,11,4,7,7
Mitochondrial folate transporter/carrier OS=Homo sapiens GN=SLC25A32 PE=3 SV=1 - [F5H2Q1_HUMAN],2,1,0,0,1,0
Isoform 2 of Membralin OS=Homo sapiens GN=C19orf6 - [MBRL_HUMAN],2,1,0,0,1,0
Phospholipase D3 OS=Homo sapiens GN=PLD3 PE=1 SV=1 - [PLD3_HUMAN],2,3,0,0,1,0
Isoform 2 of Atrial natriuretic peptide receptor 3 OS=Homo sapiens GN=NPR3 - [ANPRC_HUMAN],2,3,0,0,1,0
Semaphorin-3C OS=Homo sapiens GN=SEMA3C PE=1 SV=2 - [SEM3C_HUMAN],2,1,0,0,1,0
Gap junction protein OS=Homo sapiens GN=GJA1 PE=2 SV=1 - [B4DN50_HUMAN],2,1,0,0,1,0
Neuropathy target esterase OS=Homo sapiens GN=PNPLA6 PE=4 SV=1 - [F5H5K9_HUMAN],2,1,0,0,1,0
Uncharacterized protein OS=Homo sapiens GN=C3 PE=2 SV=1 - [B4E216_HUMAN],2,1,0,0,1,0
Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4 - [PZP_HUMAN],2,1,0,0,1,0
Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens GN=TIMM23 PE=1 SV=1 - [TIM23_HUMAN],4,4,0,0,2,2
Rho-related GTP-binding protein RhoB OS=Homo sapiens GN=RHOB PE=1 SV=1 - [RHOB_HUMAN],4,4,0,0,2,2
Isoform 2 of Thioredoxin-related transmembrane protein 2 OS=Homo sapiens GN=TMX2 - [TMX2_HUMAN],4,2,0,0,2,1
Tissue factor OS=Homo sapiens GN=F3 PE=1 SV=1 - [TF_HUMAN],2,2,0,0,1,1
"ATP synthase subunit b, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=2 SV=1 - [Q5QNZ2_HUMAN]",4,4,0,1,2,2
Extended synaptotagmin-2 (Fragment) OS=Homo sapiens GN=ESYT2 PE=4 SV=1 - [H7BXI1_HUMAN],8,3,0,0,4,3
N-acetylgalactosaminyltransferase 7 OS=Homo sapiens GN=GALNT7 PE=1 SV=1 - [GALT7_HUMAN],2,2,0,0,1,2
Proteasome subunit beta type-7 OS=Homo sapiens GN=PSMB7 PE=1 SV=1 - [PSB7_HUMAN],2,4,0,2,1,4
"Tricarboxylate transport protein, mitochondrial OS=Homo sapiens GN=SLC25A1 PE=1 SV=2 - [TXTP_HUMAN]",2,1,0,1,1,1
Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens GN=SART3 PE=4 SV=1 - [F5H0B8_HUMAN],2,1,0,1,1,1
Protein FAM186B OS=Homo sapiens GN=FAM186B PE=2 SV=1 - [B4DZ15_HUMAN],2,1,0,1,1,1
GTP-binding protein SAR1b OS=Homo sapiens GN=SAR1B PE=1 SV=1 - [SAR1B_HUMAN],2,3,0,1,1,4
